Id	Msg
31	「{1}」chúc mừng lễ kỷ niệm! Hỏi các đại hiệp: Ta có phong độ không?
32	「{1}」nói với các đại hiệp: Chơi vui quá, mọi người hãy cùng tham gia nào!
33	「{1}」mặc trên người bộ màu trắng, nói với các đại hiệp: Đêm nay ai cùng ta ngắm sao?
34	「{1}」ôm đàn tì bà, nói với các đại hiệp: Ta sẽ hát một bài!
35	「{1}」ưu nhã quý phái, nói với các đại hiệp: Ai sẽ là bạn đời của ta!
36	「{1}」tham gia Lâm Triều Hoa Tỉ Võ Chiêu Thân thắng lợi, mở {2}, nhận được {3}!
37	「{1}」 tham gia Tỉ Võ Chiêu Thân của Triệu Ân Đồng giành chiến thắng, mở {2} ra, thì ra bên trong là {3}! Thật đáng ngưỡng mộ!
38	「{1}」cẩn thận mở {2}, bên trong có {3}, hết sức vui mừng!
39	「{1}」nhìn chằm chằm {2} trong tay, chầm chậm lấy ra {3}, nở nụ cười mãn nguyện!
41	「{1}」mở [Rương Phù Quang Nhược Mộng Hào Hoa] nhận được tất cả phối màu của ngoại trang Áo nhóm Phù Quang!
42	Kim ngọc cẩm tú, ánh sáng chiếu rọi!「{1}」mở「{2}」nhận được ngoại trang【Phong Động Huỳnh Vũ】và danh hiệu【Khởi Vũ Thanh Ảnh】!
43	Phương phi mãn thành, ca tận đào hoa.「{1}」nhặt「{2}」đồng thời phát hiện {3}, chúng ta hãy tiếp tục cổ vũ cho các tuyển thủ của The Voice nào!
44	Thành viên Bang Hội「{1}」đã mua「{2}」!
45	{1}」mở「{2}」nhận đạo cụ quý hiếm【Hồn Thiêng Đất Việt】!
101	Thành viên「{1}」trong lúc diệt Bạch Hổ Đường {2} nhận được {3}!
102	「{1}」diệt Bạch Hổ Đường {2} nhận được {3}, thật may mắn!
103	Đồng đội「{1}」nhận được {3}!
201	Thành viên「{1}」mở {2} may mắn nhận được {3}!
202	「{1}」mở {2} nhận được {3}, thật may mắn!
203	Thành viên bang「{1}」mở {2} nhận được {3}!
301	「{1}」trong Khiêu Chiến Anh Hùng may mắn nhận được {3}!
302	「{1}」trong Khiêu Chiến Anh Hùng nhận được {3}, thật may mắn!
401	Thành viên「{1}」trong Thi Đấu Môn Phái may mắn nhận được {3}!
402	「{1}」tham gia Thi Đấu Môn Phái nhận được {3}!
501	Thành viên「{1}」trong lúc diệt {2} may mắn nhận được {3}!
502	「{1}」diệt {2}, nhận được {3}, thật may mắn!
600	「{1}」khiêu chiến「Tàng Kiếm Sơn Trang」nhận được {3}!
601	「{1}」khiêu chiến「Võ Di Cấm Địa」nhận được {3}!
602	「{1}」khiêu chiến「Dung Hỏa Tịch Lịch」nhận được {3}!
603	「{1}」khiêu chiến Bí Cảnh Tổ Đội「Thúy Trúc U Cốc」nhận được {3}! Thật may mắn!
604	「{1}」khi khiêu chiến Bí Cảnh Tổ Đội「Hô Khiếu Sơn Đạo」may mắn được nhận {3}!
605	「{1}」khi khiêu chiến Bí Cảnh Tổ Đội「Tuyết Phong Tiêu Yên」đã may mắn nhận được {3}!
700	「{1}」hoàn thành nhiệm vụ Quyển {2} từ「Chủ Thương Hội」Vạn Kim Tài, nhận được {3}!
701	「{1}」hoàn thành nhiệm vụ Thương Hội được「Chủ Thương Hội」Vạn Kim Tài khen thưởng, nhận thêm {3}!
702	「{1}」chế tạo được [FFFE0D]Lv{3}-{2}[-], mọi người hãy mau đến xem!
703	「{1}」khi dùng tiệc cưới, phát hiện {3} giấu dưới bàn, cười như hoa!
704	「{1}」cẩn thận mở kẹo hỉ trong tay, bên trong là {3}! Thật may mắn!
800	Thành viên Bang Hội「{1}」tham gia [FFFE0D]Giang Hồ Hào Hiệp[-], ghép được [ff8f06]Hộp Quà Hào Hiệp[-], thật đáng mừng! #49
900	Thành viên bang「{1}」không ngừng cố gắng, cuối cung ghép ra Thịnh Điển Lệnh, có thể chia Nguyên Bảo trong quỹ thưởng Thịnh Điển!
901	「{1}」khi dùng {2} bất ngờ nhận được {3}, đúng là may mắn!
902	「{1}」tham gia Tiệc Tất Niên Bang, mở {2} nhận được {3}, thật may mắn!
