TimeFrame	Day	Name	ScriptFunc	WeekDay	Time1	Time2	Time3	Time4	Time5	Time6	Time7	Time8	Time9	Time10	Param1	Param2	Param3	Param4	Param5
OpenLevel59	-1	Công Thành Chiến	SendTimeFrameMail	15	4:05										OpenDomainBattle	1	Giới thiệu\n    【Dự báo】%date mở: Công Thành Chiến.\n   Các vị đại hiệp, hãy cùng tranh đoạt lãnh địa cho Bang Hội mình! Mục tiêu cuối của chúng ta là tiến vào Tương Dương, đoạt thành chính.\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	1
OpenLevel59	-1	Thu Thập Lăng Tuyệt Phong	SendTimeFrameMail		4:05										OpenLevel59	1	Giới thiệu\n    【Dự báo】%date mở: Hoạt động Thu thập Lăng Tuyệt Phong.\n   Các vị đại hiệp, sau khi mở cấp tối đa Lv59, khiêu chiến Lăng Tuyệt Phong sẽ nhận được thẻ, thu thập để xếp hạng, nhận nhiều phần thưởng.\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel59	-1	Hệ thống Sư Đồ	SendTimeFrameMail		4:05										OpenLevel59	1	Giới thiệu\n    【Dự báo】%date mở: Hệ thống Sư Đồ.\n    Đạt [FFFE0D]Lv50[-] trở lên có thể kết sư đồ cùng đại hiệp [FFFE0D]Lv20[-], cần chênh lệch [FFFE0D]≥5 cấp[-], sư đồ có thể đến Vong Ưu Đảo tìm Thượng Quan Phi Long.\n    [FFFE0D]Tăng cấp Kiếm Hiệp có thể giảm chênh lệch cấp hai bên\n    Kiếm Hiệp 6: Chênh lệch ≥4 cấp\n    Kiếm Hiệp 9: Chênh lệch ≥3 cấp\n    Kiếm Hiệp 12: Chênh lệch ≥2 cấp[-]	Coin|1000	
OpenLevel59	1	Mở Công Thành Chiến	DeclareWarDomainBattle	26	4:01														
OpenLevel59	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel69	-2	Cấp tối đa Lv69	SendTimeFrameMail		4:05										OpenLevel69	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở chế tạo trang bị bậc 5, cấp tối đa Lv69.	Coin|1000	
OpenLevel69	-2	Lăng Tuyệt Phong-Ác Mộng	SendTimeFrameMail		4:05										OpenLevel69	1	Giới thiệu\n    【Dự báo】%date mở: Lăng Tuyệt Phong-Ác Mộng.\n   Chi tiết xem tại giao diện Lịch hoạt động-Lăng Tuyệt Phong-Trợ giúp!	Coin|1000	
OpenLevel69	-1	Mở hệ thống Hôn Nhân	SendTimeFrameMail		4:05										OpenLevel69	1	Giới thiệu\n    【Dự báo】%date mở: Hệ thống Kết Hôn.\n    [FFFE0D]Đính Hôn: [-]Tổ đội với đối tượng [FFFE0D]khác giới[-], một trong hai sử dụng [ff8f06][url=openwnd:Duyên Định Kim Sinh, ItemTips, "Item", nil, 6155][-] cầu hôn. [FFFE0D]Hai bên cần đạt Lv50, thân mật đạt Lv30.[-]\n    [FFFE0D]Thành hôn: [-]Sau khi đính hôn có thể đến Tương Dương tìm [00FF00][url=npc:Nguyệt Lão, 2371, 10][-] đặt trước hôn lễ, sau kết hôn còn nhận thưởng [FFFE0D]danh hiệu, gia cụ, lễ phục, hôn thư[-] độc đáo	Coin|1000	
OpenLevel69	1	Hoa Sơn Luận Kiếm	SendTimeFrameMail		4:05										HuaShanLunJian	1	Giới thiệu\n    【Dự báo】%date mở: Hoa Sơn Luận Kiếm.\n   Hãy lập đội lên Đỉnh Hoa Sơn tranh đoạt danh hiệu Võ Lâm Chí Tôn.\n   Chú ý: Thời gian mở hoạt động từ ngày [FFFE0D]7-15[-], mọi người hãy lưu ý.\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel69	1	Trân Bảo Các giảm giá	SendTimeFrameMail	1	4:05										OpenLevel69	1	Mỗi tuần giảm giá mua giới hạn\n    Do máy chủ mở cấp tối đa Lv69, Chủ Thương Hội Vạn Kim Tài quyết định giảm giá một số vật phẩm【mua giới hạn mỗi tuần】Trân Bảo Các.\n    [FFFE0D]Thủy Tinh Lam[-]\n    Giá: 160 Nguyên Bảo [FFFE0D](Vật phẩm mới)[-]\n    [FFFE0D]Khoáng Thạch Thần Bí Lv3[-]\n    Giá: 640 Nguyên Bảo [FFFE0D](Vật phẩm mới) [-]\n    [FFFE0D]Thủy Tinh Trắng[-]\n    Gốc: 8 Nguyên Bảo            Giảm: 6 Nguyên Bảo\n    [FFFE0D]Thủy Tinh Lục[-]\n    Gốc: 40 Nguyên Bảo          Giảm: 35 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv1[-]\n    Gốc: 30 Nguyên Bảo          Giảm: 25 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv2[-]\n    Gốc: 160 Nguyên Bảo        Giảm: 140 Nguyên Bảo		
OpenLevel69	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel69	2	Thủ Lĩnh Dã Ngoại Lv60	SendTimeFrameMail		4:05										OpenDay35	1	Giới thiệu\n    【Dự báo】%date mở: Thủ Lĩnh Dã Ngoại Lv60.\n   Chi tiết xem tại giao diện Lịch hoạt động-Thủ Lĩnh Dã Ngoại!	Coin|1000	
OpenDay52	-1	Danh Tướng Lv60	SendTimeFrameMail		4:05										OpenDay52	1	Giới thiệu\n    【Dự báo】%date mở: Danh Tướng Lv60.\n   Chi tiết xem tại giao diện Lịch hoạt động-Hoạt động Danh Tướng!	Coin|1000	
OpenLevel79	-2	Cấp tối đa Lv79	SendTimeFrameMail		4:05										OpenLevel79	1	Giới thiệu\n    【Dự báo】Nội dung mới %date: Kiến trúc Bang Hội (Binh Giáp, Trang Sức, Phòng Cụ) mở Chế Tạo Trang Bị Bậc 6, Hệ thống Kinh Mạch Đồng Hành, giới hạn cấp nhân vật đến Lv79.	Coin|1000	
OpenLevel79	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel79	1	Kinh Mạch Đồng Hành	SendTimeFrameMail		4:05											67	Công Tôn Tích Hoa cho bồ câu đưa thư\nĐại hiệp thân mến, \n    Kỳ nhân giang hồ Huyền Thiên Đạo Nhân đã công bố một số công pháp thần bí giúp [FFFE0D]đả thông kinh mạch[-], tương truyền sau khi đả thông kinh mạch sẽ giúp tăng mạnh tu vi võ công của [FFFE0D]Đồng Hành[-], có [FFFE0D]tác dụng rất lớn[-]. Đại hiệp nếu đạt [FFFE0D]Lv70[-] hãy mau đến Ẩn Hương Lâu tìm ta, ta có chuyện nói với người!	Coin|1000	
OpenLevel79	19	Mở Tần Lăng	SendTimeFrameMail		4:05										OpenDay89	1	Giới thiệu\n    【Dự báo】%date mở: Chư vị đại hiệp, một bọn đạo mộ tặc đã phát hiện manh mối vào Tần Lăng, chi bằng đại hiệp đi thăm dò một chuyến.\n\n   Ngoài ra, do Hoàng Lăng thu hút rất nhiều cao thủ đến đó, sau khi mở Hoàng Lăng, [FFFE0D]Danh Tướng lúc 15:30 mỗi ngày sẽ đóng![-]\n   Chi tiết xem tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel89	-2	Cấp tối đa Lv89	SendTimeFrameMail		4:05										OpenLevel89	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Kiến trúc Bang Hội (Binh Giáp, Trang Sức, Phòng Cụ) mở chế tạo trang bị bậc 7, mở hệ thống Trận Pháp, Bí Kíp-Cao, giới hạn cấp nhân vật tăng đến Lv89.	Coin|1000	
OpenLevel89	1	Trân Bảo Các giảm giá	SendTimeFrameMail	1	4:05										OpenLevel89	1	Mỗi tuần giảm giá mua giới hạn\n    Do máy chủ mở cấp tối đa Lv89, Chủ Thương Hội Vạn Kim Tài quyết định giảm giá một số vật phẩm【mua giới hạn mỗi tuần】Trân Bảo Các.\n    [FFFE0D]Thủy Tinh Tím[-]\n    Giá: 640 Nguyên Bảo [FFFE0D](Vật phẩm mới) [-]\n    [FFFE0D]Thủy Tinh Trắng[-]\n    Gốc: 6 Nguyên Bảo            Giảm: 5 Nguyên Bảo\n    [FFFE0D]Thủy Tinh Lục[-]\n    Gốc: 35 Nguyên Bảo          Giảm: 30 Nguyên Bảo\n    [FFFE0D]Thủy Tinh Lam[-]\n    Gốc: 160 Nguyên Bảo        Giảm: 140 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv1[-]\n    Gốc: 25 Nguyên Bảo          Giảm: 20 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv2[-]\n    Gốc: 140 Nguyên Bảo        Giảm: 120 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv3[-]\n    Gốc: 640 Nguyên Bảo        Giảm: 580  Nguyên Bảo		
OpenLevel89	2	Thủ Lĩnh Dã Ngoại Lv80	SendTimeFrameMail		4:05										OpenDay116	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Thủ Lĩnh Dã Ngoại Lv80.\n   Chi tiết xem giới thiệu Thủ Lĩnh Dã Ngoại giao diện lịch hoạt động!	Coin|1000	
OpenLevel89	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel89	14	Danh Tướng Lv80	SendTimeFrameMail		4:05										OpenDay128	1	Giới thiệu\n    【Dự báo】%date mở: Danh Tướng Lv80.\n   Chi tiết xem giới thiệu Danh Tướng tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel89	40	Thay đổi Hoàng Kim Đồ Phổ Tần Lăng	SendTimeFrameMail		4:05										OpenDay153	1	Giới thiệu\n    【Dự báo】%date Hoàng Kim Đồ Phổ Tần Lăng  thông báo: Bắt đầu từ hôm nay Thủy Hoàng Giáng Thế sẽ xuất hiện thêm Đồ Phổ Hoàng Kim Vũ Khí, Hoàng Kim Ngọc Bội, các đại hiệp hãy chú ý!\n   Chi tiết xem Thủy Hoàng Giáng Thế tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel99	-2	Nhân vật Lv99	SendTimeFrameMail		4:05										OpenLevel99	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở Chế Tạo Trang Bị Bậc 8, giới hạn cấp nhân vật mở đến Lv99.	Coin|1000	
OpenLevel99	-2	Độ khó Lăng Tuyệt Phong-Địa Ngục	SendTimeFrameMail		4:05										OpenLevel99	1	Giới thiệu\n    【Dự báo】%date mở: Độ khó Lăng Tuyệt Phong-Địa Ngục.\n   Chi tiết xem thông tin hỗ trợ Lăng Tuyệt Phong tại giao diện Lịch hoạt động!	Coin|1000	
OpenLevel99	-1	Di Tích Tầm Bảo	SendTimeFrameMail		4:05										OpenKeyQuestFuben	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Di Tích Tầm Bảo.\n   Khi đó sẽ [FFFE0D]hủy Bạch Hổ Đường vào T2 và T4 20:00[-], chi tiết hoạt động xem giới thiệu Di Tích Tầm Bảo trong giao diện Lịch hoạt động!	Coin|1000	
OpenLevel99	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel109	-2	Nhân Vật Lv109	SendTimeFrameMail		4:05										OpenLevel109	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở chế tạo trang bị bậc 9 và giới hạn cấp nhân vật Lv109.	Coin|1000	
OpenLevel109	-2	Môn Khách Đồng Hành	SendTimeFrameMail		4:05										OpenLevel109	1	Thư Triệu Ân Đồng\nĐại hiệp thân mến,\n    Nghe nói thiếu hiệp danh tiếng ngày càng vang xa, Ân Đồng rất vui mừng, gần đây ta có đọc lịch sử chiến quốc, phát hiện [FFFE0D]Môn Khách[-] rất thú vị, 2 ngày sau hãy đến tìm ta, ta sẽ nói cho ngươi biết!	Coin|1000	
OpenLevel109	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel109	2	Thủ Lĩnh Dã Ngoại Lv100	SendTimeFrameMail		4:05										OpenDay251	1	Giới thiệu\n    【Dự báo】%date mở: Thủ Lĩnh Dã Ngoại Lv100.\n   Xem chi tiết Thủ Lĩnh Dã Ngoại trong giao diện hoạt động hàng ngày!	Coin|1000	
OpenLevel89	1	Thông Thiên Tháp Liên SV	SendTimeFrameMail	26	4:05										OpenLevel89	1	Thông Thiên Tháp Liên SV mở\n    Thông Thiên Tháp mở ra một giai đoạn mới, dạng Liên SV. Số tầng khởi đầu Thông Thiên Tháp sẽ tăng 1 tầng, trong vòng đấu cuối cùng sẽ có thể gặp đối thủ từ các máy chủ khác. Thông Thiên Tháp 8 tầng hoàn toàn mới đang chờ đại hiệp đến khiêu chiến!		
OpenLevel69	4	Tâm Ma Ảo Cảnh/Tuyệt Địa	SendTimeFrameMail	135	4:05										OpenDay118	1	Giới thiệu\n    【Dự báo】%date mở: Tâm Ma Ảo Cảnh/Tuyệt Địa.\n    3 người tổ đội thi đấu liên SV không cách biệt, [FFFE0D]cố định cấp, không mang đồng hành, lực chiến ngang nhau[-]. Lược bỏ sự chênh lệch về trang bị và cấp, cảm nhận niềm vui thi đấu!\n   Chi tiết xem ở giao diện lịch trình!	Coin|1000	1
OpenLevel99	13	Quân Hàm Vô Song	SendTimeFrameMail		4:05										OpenDay188	1	Dự báo\n    Quân Hàm [FFFE0D]「Vô Song」[-] mở vào %date, đại hiệp thỏa điều kiện có thể tốn [FFFE0D]Hoàng Đế Lệnh[-] để tăng cấp.	Coin|1000	
OpenLevel99	30	Rơi Đồng Hành Tần Thủy Hoàng	SendTimeFrameMail	36	4:05										OpenDay204	1	Giới thiệu\n    [FFFE0D]Đồng Hành Cấp SSS「Tần Thủy Hoàng」[-]Gợi ý: Tần Lăng biến hóa vô biên, bên trong có thiên cơ, %date Thủy Hoàng giáng thế sẽ rơi [FFFE0D]Đồng Hành Cấp SSS「Tần Thủy Hoàng」[-]!\n   Xem chi tiết Thủy Hoàng Giáng Thế trong giao diện hoạt động hàng ngày!	Coin|1000	1
OpenLevel99	60	Rơi Vũ Khí Bổn Mạng Tần Thủy Hoàng	SendTimeFrameMail	36	4:05										OpenDay234	1	Giới thiệu\n    Vũ Khí Bổn Mạng Tần Thủy Hoàng「Thái A Kiếm」sắp xuất hiện!\n   Từ %date [FFFE0D]Thủy Hoàng Giáng Thế[-] ra mắt [FFFE0D]Vũ Khí Bổn Mạng Tần Thủy Hoàng「Thái A Kiếm」[-]!\n   Chi tiết xem tại giao diện Hoạt động-Thủy Hoàng Giáng Thế!	Coin|1000	1
OpenLevel89	44	Mở Thức Tỉnh Đồng HànhTính năng	SendTimeFrameMail		4:05										OpenDay159	1	Đồng Hành Thức Tỉnh\n    Vào lúc %date sẽ mở ra tính năng Thức Tỉnh Đồng Hành, giúp đồng hành tăng vĩnh viễn tất cả tiềm năng. [FFFE0D]Sau khi mở tính năng có thể thao tác trong giao diện【Đồng Hành】[-].\n\n                                               [00FF00][url=openwnd:Quy tắc thức tỉnh, GeneralHelpPanel, "PartnerAwarenessHelp"][-]	Coin|1000	
OpenLevel119	-2	Nhân Vật Lv119	SendTimeFrameMail		4:05										OpenLevel119	1	Giới thiệu\n    【Dự báo】%date mở: Kiến trúc Bang Hội (Binh Giáp Phường, Trang Sức Phường, Phòng Cụ Phường) mở Chế Tạo Trang Bị Bậc 10, giới hạn cấp nhân vật mở đến Lv119.	Coin|1000	
OpenLevel119	-2	Bí Quyển Môn Phái	SendTimeFrameMail		4:05										OpenLevel119	1	Giới thiệu\n    【Dự báo】%date mở: Một phần cấp tối đa kỹ năng môn phái có thể tốn Tín Vật Môn Phái để tăng.\n   Chi tiết xem ở giao diện kỹ năng!	Coin|1000	
OpenLevel119	1	Thương Nhân Tây Vực	SendTimeFrameMail		4:05											1	Thư Giả Hữu Tiền\nĐại hiệp thân mến,\n    Giang hồ ai cũng biết đến Thương Hội Vạn Kim Tài mà ít ai biết đến Thương Nhân Tây Vực Giả Hữu Tiền ta. Lần buôn này có nhiều thu hoạch, nhân dịp gặp lại ta sẽ ở lại Đấu Giá [FFFE0D]3 ngày[-], [FFFE0D]mỗi ngày 19:05[-] mở đấu giá bán [FFFE0D]các loại vật phẩm hiếm[-], các vị đại hiệp nhớ đừng bỏ lỡ!	Coin|1000	
OpenLevel119	14	Danh Tướng Lv110	SendTimeFrameMail		4:05										OpenDay353	1	Giới thiệu\n    【Dự báo】%date mở: Danh Tướng Lv110.\n  Xem chi tiết Danh Tướng trong giao diện hoạt động hàng ngày!	Coin|1000	
OpenLevel129	-2	Nhân Vật Lv129	SendTimeFrameMail		4:05										OpenLevel129	1	Giới thiệu\n 【Dự báo】%date mở nội dung mới: Kiến trúc bang (Binh giáp, trang sức, phòng cụ) mở chế tạo trang bị bậc 11, giới hạn nhân vật mở đến Lv129, giới hạn gia viên mở đến Lv7.	Coin|1000	
OpenLevel109	1	Trân Bảo Các giảm giá	SendTimeFrameMail	1	4:05										OpenLevel109	1	Mua giới hạn hàng tuần giảm giá\n    Máy chủ mở giới hạn cấp tối đa Lv109, Chủ Thương Hội Vạn Kim Tài quyết định giảm giá một số vật phẩm trong Trân Bảo Các【Mua giới hạn mỗi tuần】, giúp các vị sớm trở thành trụ cột võ lâm.\n    [FFFE0D]Thủy Tinh Lục[-]\n    Gốc: 30 Nguyên Bảo          Bán: 25 Nguyên Bảo\n    [FFFE0D]Thủy Tinh Lam[-]\n    Gốc: 140 Nguyên Bảo        Bán: 120 Nguyên Bảo\n    [FFFE0D]Thủy Tinh Tím[-]\n    Gốc: 640 Nguyên Bảo        Bán: 580 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv2[-]\n    Gốc: 120 Nguyên Bảo        Bán: 100 Nguyên Bảo\n    [FFFE0D]Khoáng Thạch Thần Bí Lv3[-]\n    Gốc: 580 Nguyên Bảo        Bán: 480 Nguyên Bảo		
OpenLevel109	30	Đồng Hành Hoàn Nhan Hồng Liệt rơi	SendTimeFrameMail	15	4:05										OpenDay279	1	Giới thiệu\n    [FFFE0D]Đồng Hành Cấp SSS「Hoàn Nhan Hồng Liệt」[-]Xuất hiện: %date Công Thành Chiến sẽ rơi [FFFE0D]Đồng Hành Cấp SSS「Hoàn Nhan Hồng Liệt」[-]!\n   Xem chi tiết Công Thành Chiến trong giao diện hoạt động hàng ngày!	Coin|1000	
OpenLevel109	30	Mở hệ thống Tuyệt Học	SendTimeFrameMail		4:05										OpenDay279	1	Dự báo\n    【Dự báo】%date mở: Tuyệt Học sắp mở, chi tiết xem [00FF00][url=openwnd:Giới thiệu Tuyệt Học, GeneralHelpPanel, "JueXueHelp"][-]	Coin|1000	
OpenLevel59	-1	Mở Gia Viên	SendTimeFrameMail		4:05										OpenDay15	1	Dự báo mở Gia Viên\n    Chư vị đại hiệp, [FFFE0D]hệ thống Gia Viên[-] mở vào %date, khi đó có thể đến [FFFE0D][url=npc:Triệu Ân Đồng, 2279, 10][-] nhận nhiệm vụ Xây Gia Viên, sau khi hoàn thành miễn phí nhận được khu riêng của bản thân. \n\n                                               [00FF00][url=openwnd:Giới thiệu Gia Viên, GeneralHelpPanel, "HouseHelp"][-]	Coin|1000	
OpenLevel79	-1	Mở Gia Viên Lv3	SendTimeFrameMail		4:05										OpenDay69	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Viên mở đến Lv3	Coin|1000	
OpenLevel79	30	Mở chế tạo gia cụ Lv3	SendTimeFrameMail		4:05										OpenDay99	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Cụ Phường mở Chế Tạo Lv3	Coin|1000	
OpenLevel89	-1	Mở Gia Viên Lv4	SendTimeFrameMail		4:05										OpenDay114	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Viên mở đến Lv4	Coin|1000	
OpenLevel99	-1	Mở Gia Viên Lv5	SendTimeFrameMail		4:05										OpenDay174	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Viên mở đến Lv5	Coin|1000	
OpenLevel99	50	Mở chế tạo gia cụ Lv4	SendTimeFrameMail		4:05										OpenDay224	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Cụ Phường mở Chế Tạo Lv4	Coin|1000	
OpenLevel109	-1	Mở Gia Viên Lv6	SendTimeFrameMail		4:05										OpenDay249	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Viên mở đến Lv6	Coin|1000	
OpenLevel119	60	Mở chế tạo gia cụ Lv5	SendTimeFrameMail		4:05										OpenDay399	1	Giới thiệu\n    【Dự báo】%date mở nội dung mới: Gia Cụ Phường mở Chế Tạo Lv5	Coin|1000	
OpenLevel109	30	Rơi Vũ Khí Bổn Mạng Hoàn Nhan Hồng Liệt	SendTimeFrameMail	15	4:05										OpenDay279	1	Giới thiệu\n    Vũ Khí Bổn Mạng Hoàn Nhan Hồng Liệt「Kim Long Ngự Ưng Thủ」sắp tái hiện nhân gian!\n    %date [FFFE0D]Công Thành Chiến[-] sẽ rơi [FFFE0D]Vũ Khí Bổn Mạng Hoàn Nhan Hồng Liệt「Kim Long Ngự Ưng Thủ」[-]!\n   Xem chi tiết trong Công Thành Chiến trong giao diện hoạt động hàng ngày!	Coin|1000	1
