Level	LevelMin	FightPowerWeapon	FightPowerCloth	FightPowerJewelry	FightPowerArmor	ValueWeapon	ValueArmorCloth	ValueJewelry	ValueArmor	ConsumeItem	ConsumeCountWeapon	ConsumeCountCloth	ConsumeCountJewelry	ConsumeCountArmor	Probility	BreakItem	BreakCountWeapon	BreakCountCloth	BreakCountJewelry	BreakCountArmor
33	2	2253	1352	901	450	2253505	1352103	901402	450701	crystal_2	5	3	2	1	700					
34	2	2396	1437	958	479	2396362	1437817	958545	479272	crystal_2	5	3	2	1	600					
35	2	2563	1537	1025	512	2563029	1537817	1025211	512605	crystal_2	5	3	2	1	600					
36	2	2729	1637	1091	545	2729696	1637817	1091878	545939	crystal_2	5	3	2	1	500					
37	2	2929	1757	1171	585	2929696	1757817	1171878	585939	crystal_2	5	3	2	1	500					
38	2	3129	1877	1251	625	3129696	1877817	1251878	625939	crystal_2	5	3	2	1	400					
39	2	3379	2027	1351	675	3379696	2027817	1351878	675939	crystal_2	5	3	2	1	400					
40	3	3629	2177	1451	725	3629696	2177817	1451878	725939	crystal_3	5	3	2	1	900	mystery_stone_2	5	3	2	1
41	3	4074	2444	1629	814	4074140	2444484	1629656	814828	crystal_3	5	3	2	1	900					
42	3	4518	2711	1807	903	4518585	2711151	1807434	903717	crystal_3	5	3	2	1	850					
43	3	4989	2993	1995	997	4989173	2993503	1995669	997834	crystal_3	5	3	2	1	850					
44	3	5459	3275	2183	1091	5459761	3275856	2183904	1091952	crystal_3	5	3	2	1	800					
45	3	5959	3575	2383	1191	5959761	3575856	2383904	1191952	crystal_3	5	3	2	1	800					
46	3	6459	3875	2583	1291	6459761	3875856	2583904	1291952	crystal_3	5	3	2	1	750					
47	3	6993	4195	2797	1398	6993094	4195856	2797237	1398618	crystal_3	5	3	2	1	750					
48	3	7526	4515	3010	1505	7526428	4515856	3010571	1505285	crystal_3	5	3	2	1	700					
49	3	8097	4858	3239	1619	8097856	4858714	3239142	1619571	crystal_3	5	3	2	1	700					
50	4	8669	5201	3467	1733	8669285	5201571	3467714	1733857	crystal_3	5	3	2	1	600					
51	4	9335	5601	3734	1867	9335952	5601571	3734380	1867190	crystal_3	5	3	2	1	600					
52	4	10002	6001	4001	2000	10002618	6001571	4001047	2000523	crystal_3	5	3	2	1	500					
53	4	10802	6481	4321	2160	10802618	6481571	4321047	2160523	crystal_3	5	3	2	1	500					
54	4	11602	6961	4641	2320	11602618	6961571	4641047	2320523	crystal_3	5	3	2	1	400					
55	4	12602	7561	5041	2520	12602618	7561571	5041047	2520523	crystal_3	5	3	2	1	400					
56	4	13602	8161	5441	2720	13602618	8161571	5441047	2720523	crystal_3	5	3	2	1	300					
57	4	14935	8961	5974	2987	14935952	8961571	5974380	2987190	crystal_3	5	3	2	1	300					
58	4	16269	9761	6507	3253	16269285	9761571	6507714	3253857	crystal_3	5	3	2	1	250					
59	4	17869	10721	7147	3573	17869285	10721571	7147714	3573857	crystal_3	5	3	2	1	250					
60	5	19469	11681	7787	3893	19469285	11681571	7787714	3893857	crystal_4	5	3	2	1	900	mystery_stone_3	5	3	2	1
61	5	21247	12748	8498	4249	21247063	12748237	8498825	4249412	crystal_4	5	3	2	1	900					
62	5	23024	13814	9209	4604	23024840	13814904	9209936	4604968	crystal_4	5	3	2	1	850					
63	5	24907	14944	9962	4981	24907193	14944316	9962877	4981438	crystal_4	5	3	2	1	850					
64	5	26789	16073	10715	5357	26789546	16073728	10715818	5357909	crystal_4	5	3	2	1	800					
65	5	28789	17273	11515	5757	28789546	17273728	11515818	5757909	crystal_4	5	3	2	1	800					
66	5	30789	18473	12315	6157	30789546	18473728	12315818	6157909	crystal_4	5	3	2	1	750					
67	5	32922	19753	13169	6584	32922880	19753728	13169152	6584576	crystal_4	5	3	2	1	750					
68	5	35056	21033	14022	7011	35056213	21033728	14022485	7011242	crystal_4	5	3	2	1	700					
69	5	37341	22405	14936	7468	37341927	22405156	14936771	7468385	crystal_4	5	3	2	1	700					
70	6	39627	23776	15851	7925	39627642	23776585	15851056	7925528	crystal_4	5	3	2	1	600					
71	6	42294	25376	16917	8458	42294308	25376585	16917723	8458861	crystal_4	5	3	2	1	600					
72	6	44960	26976	17984	8992	44960975	26976585	17984390	8992195	crystal_4	5	3	2	1	500					
73	6	48160	28896	19264	9632	48160975	28896585	19264390	9632195	crystal_4	5	3	2	1	500					
74	6	51360	30816	20544	10272	51360975	30816585	20544390	10272195	crystal_4	5	3	2	1	400					
75	6	55360	33216	22144	11072	55360975	33216585	22144390	11072195	crystal_4	5	3	2	1	400					
76	6	59360	35616	23744	11872	59360975	35616585	23744390	11872195	crystal_4	5	3	2	1	300					
77	6	64694	38816	25877	12938	64694308	38816585	25877723	12938861	crystal_4	5	3	2	1	300					
78	6	70027	42016	28011	14005	70027642	42016585	28011056	14005528	crystal_4	5	3	2	1	250					
79	6	76427	45856	30571	15285	76427642	45856585	30571056	15285528	crystal_4	5	3	2	1	250					
80	7	82827	49696	33131	16565	82827642	49696585	33131056	16565528	crystal_5	5	3	2	1	850	mystery_stone_4	5	3	2	1
81	7	90357	54214	36142	18071	90357053	54214232	36142821	18071410	crystal_5	5	3	2	1	550					
82	7	97886	58731	39154	19577	97886465	58731879	39154586	19577293	crystal_5	5	3	2	1	550					
83	7	105886	63531	42354	21177	105886465	63531879	42354586	21177293	crystal_5	5	3	2	1	550					
84	7	113886	68331	45554	22777	113886465	68331879	45554586	22777293	crystal_5	5	3	2	1	550					
85	7	122419	73451	48967	24483	122419798	73451879	48967919	24483959	crystal_5	5	3	2	1	550					
86	7	130953	78571	52381	26190	130953132	78571879	52381252	26190626	crystal_5	5	3	2	1	550					
87	7	140095	84057	56038	28019	140095989	84057593	56038395	28019197	crystal_5	5	3	2	1	550					
88	7	149238	89543	59695	29847	149238846	89543307	59695538	29847769	crystal_5	5	3	2	1	550					
89	7	159905	95943	63962	31981	159905513	95943307	63962205	31981102	crystal_5	5	3	2	1	550					
90	8	170572	102343	68228	34114	170572179	102343307	68228871	34114435	crystal_5	5	3	2	1	550					
91	8	183372	110023	73348	36674	183372179	110023307	73348871	36674435	crystal_5	5	3	2	1	550					
92	8	196172	117703	78468	39234	196172179	117703307	78468871	39234435	crystal_5	5	3	2	1	550					
93	8	212172	127303	84868	42434	212172179	127303307	84868871	42434435	crystal_5	5	3	2	1	550					
94	8	228172	136903	91268	45634	228172179	136903307	91268871	45634435	crystal_5	5	3	2	1	550					
95	8	246457	147874	98583	49291	246457894	147874736	98583157	49291578	crystal_5	5	3	2	1	550					
96	8	264743	158846	105897	52948	264743608	158846165	105897443	52948721	crystal_5	5	3	2	1	550					
97	8	286076	171646	114430	57215	286076941	171646165	114430776	57215388	crystal_5	5	3	2	1	550					
98	8	307410	184446	122964	61482	307410275	184446165	122964110	61482055	crystal_5	5	3	2	1	550					
99	8	333010	199806	133204	66602	333010275	199806165	133204110	66602055	crystal_5	5	3	2	1	550					
100	10	358610	215166	143444	71722	358610275	215166165	143444110	71722055	crystal_7	5	3	2	1	1000	mystery_stone_5	5	3	2	1
101	10	384210	230526	153684	76842	384210275	230526165	153684110	76842055	crystal_7	5	3	2	1	450					
102	10	409810	245886	163924	81962	409810275	245886165	163924110	81962055	crystal_7	5	3	2	1	450					
103	10	435410	261246	174164	87082	435410275	261246165	174164110	87082055	crystal_7	5	3	2	1	450					
104	10	461010	276606	184404	92202	461010275	276606165	184404110	92202055	crystal_7	5	3	2	1	450					
105	10	486610	291966	194644	97322	486610275	291966165	194644110	97322055	crystal_7	5	3	2	1	450					
106	10	518610	311166	207444	103722	518610275	311166165	207444110	103722055	crystal_7	5	3	2	1	450					
107	10	550610	330366	220244	110122	550610275	330366165	220244110	110122055	crystal_7	5	3	2	1	450					
108	10	582610	349566	233044	116522	582610275	349566165	233044110	116522055	crystal_7	5	3	2	1	450					
109	10	614610	368766	245844	122922	614610275	368766165	245844110	122922055	crystal_7	5	3	2	1	450					
110	12	646610	387966	258644	129322	646610275	387966165	258644110	129322055	crystal_7	5	3	2	1	450					
111	12	678610	407166	271444	135722	678610275	407166165	271444110	135722055	crystal_7	5	3	2	1	450					
112	12	710610	426366	284244	142122	710610275	426366165	284244110	142122055	crystal_7	5	3	2	1	450					
113	12	742610	445566	297044	148522	742610275	445566165	297044110	148522055	crystal_7	5	3	2	1	450					
114	12	774610	464766	309844	154922	774610275	464766165	309844110	154922055	crystal_7	5	3	2	1	450					
115	12	806610	483966	322644	161322	806610275	483966165	322644110	161322055	crystal_7	5	3	2	1	450					
116	12	849276	509566	339710	169855	849276940	509566164	339710776	169855388	crystal_7	5	3	2	1	450					
117	12	891943	535166	356777	178388	891943605	535166163	356777442	178388721	crystal_7	5	3	2	1	450					
118	12	934610	560766	373844	186922	934610275	560766165	373844110	186922055	crystal_7	5	3	2	1	450					
119	12	977276	586366	390910	195455	977276940	586366164	390910776	195455388	crystal_7	5	3	2	1	450					
120	12	1019943	611966	407977	203988	1019943605	611966163	407977442	203988721	crystal_7	5	3	2	1	1000					
121	13	1062610	637566	425044	212521	1062610270	637566162	425044108	212522054	crystal_7	5	3	2	1	350					
122	13	1105277	663166	442111	221054	1105276935	663166161	442110774	221055387	crystal_7	5	3	2	1	350					
123	13	1147944	688766	459178	229587	1147943600	688766160	459177440	229588720	crystal_7	5	3	2	1	350					
124	13	1190611	714366	476245	238120	1190610265	714366159	476244106	238122053	crystal_7	5	3	2	1	350					
125	13	1233278	739966	493312	246653	1233276930	739966158	493310772	246655386	crystal_7	5	3	2	1	350					
126	13	1275945	765566	510379	255186	1275943595	765566157	510377438	255188719	crystal_7	5	3	2	1	350					
127	13	1318612	791166	527446	263719	1318610260	791166156	527444104	263722052	crystal_7	5	3	2	1	350					
128	13	1361279	816766	544513	272252	1361276925	816766155	544510770	272255385	crystal_7	5	3	2	1	350					
129	13	1403946	842366	561580	280785	1403943590	842366154	561577436	280788718	crystal_7	5	3	2	1	350					
130	13	1446613	867966	578647	289318	1446610255	867966153	578644102	289322051	crystal_7	5	3	2	1	350					
131	13	1489280	893566	595714	297851	1489276920	893566152	595710768	297855384	crystal_7	5	3	2	1	350					
132	13	1531947	919166	612781	306384	1531943585	919166151	612777434	306388717	crystal_7	5	3	2	1	350					
133	13	1574614	944766	629848	314917	1574610250	944766150	629844100	314922050	crystal_7	5	3	2	1	350					
134	13	1617281	970366	646915	323450	1617276915	970366149	646910766	323455383	crystal_7	5	3	2	1	350					
135	13	1659948	995966	663982	331983	1659943580	995966148	663977432	331988716	crystal_7	5	3	2	1	350					
136	13	1702615	1021566	681049	340516	1702610245	1021566147	681044098	340522049	crystal_7	5	3	2	1	350					
137	13	1745282	1047166	698116	349049	1745276910	1047166146	698110764	349055382	crystal_7	5	3	2	1	350					
138	13	1787949	1072766	715183	357582	1787943575	1072766145	715177430	357588715	crystal_7	5	3	2	1	350					
139	13	1830616	1098366	732250	366115	1830610240	1098366144	732244096	366122048	crystal_7	5	3	2	1	350					
140	13	1873283	1123966	749317	374648	1873276905	1123966143	749310762	374655381	crystal_7	5	3	2	1	1000					
141	13	1915950	1149566	766384	383181	1915943570	1149566142	766377428	383188714	crystal_7	5	3	2	1	250					
142	13	1958617	1175166	783451	391714	1958610235	1175166141	783444094	391722047	crystal_7	5	3	2	1	250					
143	13	2001284	1200766	800518	400247	2001276900	1200766140	800510760	400255380	crystal_7	5	3	2	1	250					
144	13	2043951	1226366	817585	408780	2043943565	1226366139	817577426	408788713	crystal_7	5	3	2	1	250					
145	13	2086618	1251966	834652	417313	2086610230	1251966138	834644092	417322046	crystal_7	5	3	2	1	250					
146	13	2129285	1277566	851719	425846	2129276895	1277566137	851710758	425855379	crystal_7	5	3	2	1	250					
147	13	2171952	1303166	868786	434379	2171943560	1303166136	868777424	434388712	crystal_7	5	3	2	1	250					
148	13	2214619	1328766	885853	442912	2214610225	1328766135	885844090	442922045	crystal_7	5	3	2	1	250					
149	13	2257286	1354366	902920	451445	2257276890	1354366134	902910756	451455378	crystal_7	5	3	2	1	250					
150	13	2299953	1379966	919987	459978	2299943555	1379966133	919977422	459988711	crystal_7	5	3	2	1	1000					
151	13	2342620	1405566	937054	468511	2342610220	1405566132	937044088	468522044	crystal_7	10	6	4	1	150					
152	13	2385287	1431166	954121	477044	2385276885	1431166131	954110754	477055377	crystal_7	10	6	4	1	150					
153	13	2427954	1456766	971188	485577	2427943550	1456766130	971177420	485588710	crystal_7	10	6	4	1	150					
154	13	2470621	1482366	988255	494110	2470610215	1482366129	988244086	494122043	crystal_7	10	6	4	1	150					
155	13	2513288	1507966	1005322	502643	2513276880	1507966128	1005310752	502655376	crystal_7	10	6	4	1	150					
156	13	2555955	1533566	1022389	511176	2555943545	1533566127	1022377418	511188709	crystal_7	10	6	4	1	150					
157	13	2598622	1559166	1039456	519709	2598610210	1559166126	1039444084	519722042	crystal_7	10	6	4	1	150					
158	13	2641289	1584766	1056523	528242	2641276875	1584766125	1056510750	528255375	crystal_7	10	6	4	1	150					
159	13	2683956	1610366	1073590	536775	2683943540	1610366124	1073577416	536788708	crystal_7	10	6	4	1	150					
160	13	2726623	1635966	1090657	545308	2726610205	1635966123	1090644082	545322041	crystal_7	10	6	4	1	1000					
161	13	2769290	1661566	1107724	553841	2769276870	1661566122	1107710748	553855374	crystal_7	20	12	8	1	150					
162	13	2811957	1687166	1124791	562374	2811943535	1687166121	1124777414	562388707	crystal_7	20	12	8	1	150					
163	13	2854624	1712766	1141858	570907	2854610200	1712766120	1141844080	570922040	crystal_7	20	12	8	1	150					
164	13	2897291	1738366	1158925	579440	2897276865	1738366119	1158910746	579455373	crystal_7	20	12	8	1	150					
165	13	2939958	1763966	1175992	587973	2939943530	1763966118	1175977412	587988706	crystal_7	20	12	8	1	150					
166	13	2982625	1789566	1193059	596506	2982610195	1789566117	1193044078	596522039	crystal_7	20	12	8	1	150					
167	13	3025292	1815166	1210126	605039	3025276860	1815166116	1210110744	605055372	crystal_7	20	12	8	1	150					
168	13	3067959	1840766	1227193	613572	3067943525	1840766115	1227177410	613588705	crystal_7	20	12	8	1	150					
169	13	3110626	1866366	1244260	622105	3110610190	1866366114	1244244076	622122038	crystal_7	20	12	8	1	150					
170	13	3153293	1891966	1261327	630638	3153276855	1891966113	1261310742	630655371	crystal_7	20	12	8	1	1000					
171	13	3195960	1917566	1278394	639171	3195943520	1917566112	1278377408	639188704	crystal_7	20	12	8	1	100					
172	13	3238627	1943166	1295461	647704	3238610185	1943166111	1295444074	647722037	crystal_7	20	12	8	1	100					
173	13	3281294	1968766	1312528	656237	3281276850	1968766110	1312510740	656255370	crystal_7	20	12	8	1	100					
174	13	3323961	1994366	1329595	664770	3323943515	1994366109	1329577406	664788703	crystal_7	20	12	8	1	100					
175	13	3366628	2019966	1346662	673303	3366610180	2019966108	1346644072	673322036	crystal_7	20	12	8	1	100					
176	13	3409295	2045566	1363729	681836	3409276845	2045566107	1363710738	681855369	crystal_7	20	12	8	1	100					
177	13	3451962	2071166	1380796	690369	3451943510	2071166106	1380777404	690388702	crystal_7	20	12	8	1	100					
178	13	3494629	2096766	1397863	698902	3494610175	2096766105	1397844070	698922035	crystal_7	20	12	8	1	100					
179	13	3537296	2122366	1414930	707435	3537276840	2122366104	1414910736	707455368	crystal_7	20	12	8	1	100					
180	13	3579963	2147966	1431997	715968	3579943505	2147966103	1431977402	715988701	crystal_7	20	12	8	1	100					
181	13	3622630	2173566	1449064	724501	3622610170	2173566102	1449044068	724522034	crystal_7	30	24	16	1	100					
182	13	3665297	2199166	1466131	733034	3665276835	2199166101	1466110734	733055367	crystal_7	30	24	16	1	100					
183	13	3707964	2224766	1483198	741567	3707943500	2224766100	1483177400	741588700	crystal_7	30	24	16	1	100					
184	13	3750631	2250366	1500265	750100	3750610165	2250366099	1500244066	750122033	crystal_7	30	24	16	1	100					
185	13	3793298	2275966	1517332	758633	3793276830	2275966098	1517310732	758655366	crystal_7	30	24	16	1	100					
186	13	3835965	2301566	1534399	767166	3835943495	2301566097	1534377398	767188699	crystal_7	30	24	16	1	100					
187	13	3878632	2327166	1551466	775699	3878610160	2327166096	1551444064	775722032	crystal_7	30	24	16	1	100					
188	13	3921299	2352766	1568533	784232	3921276825	2352766095	1568510730	784255365	crystal_7	30	24	16	1	100					
189	13	3963966	2378366	1585600	792765	3963943490	2378366094	1585577396	792788698	crystal_7	30	24	16	1	100					
190	13	4006633	2403966	1602667	801298	4006610155	2403966093	1602644062	801322031	crystal_7	30	24	16	1	1000					
191	13	4049300	2429566	1619734	809831	4049276820	2429566092	1619710728	809855364	crystal_7	30	24	16	1	50					
192	13	4091967	2455166	1636801	818364	4091943485	2455166091	1636777394	818388697	crystal_7	30	24	16	1	50					
193	13	4134634	2480766	1653868	826897	4134610150	2480766090	1653844060	826922030	crystal_7	30	24	16	1	50					
194	13	4177301	2506366	1670935	835430	4177276815	2506366089	1670910726	835455363	crystal_7	30	24	16	1	50					
195	13	4219968	2531966	1688002	843963	4219943480	2531966088	1687977392	843988696	crystal_7	30	24	16	1	50					
196	13	4262635	2557566	1705069	852496	4262610145	2557566087	1705044058	852522029	crystal_7	30	24	16	1	50					
197	13	4305302	2583166	1722136	861029	4305276810	2583166086	1722110724	861055362	crystal_7	30	24	16	1	50					
198	13	4347969	2608766	1739203	869562	4347943475	2608766085	1739177390	869588695	crystal_7	30	24	16	1	50					
199	13	4390636	2634366	1756270	878095	4390610140	2634366084	1756244056	878122028	crystal_7	30	24	16	1	50					
200	13	4433303	2659966	1773337	886628	4433276805	2659966083	1773310722	886655361	crystal_7	30	24	16	1	1000					
201	13	4475970	2685566	1790404	895161	4475943470	2685566082	1790377388	895188694	crystal_7	40	30	30	1	100					
202	13	4518637	2711166	1807471	903694	4518610135	2711166081	1807444054	903722027	crystal_7	40	30	30	1	100					
203	13	4561304	2736766	1824538	912227	4561276800	2736766080	1824510720	912255360	crystal_7	40	30	30	1	100					
204	13	4603971	2762366	1841605	920760	4603943465	2762366079	1841577386	920788693	crystal_7	40	30	30	1	100					
205	13	4646638	2787966	1858672	929293	4646610130	2787966078	1858644052	929322026	crystal_7	40	30	30	1	100					
206	13	4689305	2813566	1875739	937826	4689276795	2813566077	1875710718	937855359	crystal_7	40	30	30	1	100					
207	13	4731972	2839166	1892806	946359	4731943460	2839166076	1892777384	946388692	crystal_7	40	30	30	1	100					
208	13	4774639	2864766	1909873	954892	4774610125	2864766075	1909844050	954922025	crystal_7	40	30	30	1	100					
209	13	4817306	2890366	1926940	963425	4817276790	2890366074	1926910716	963455358	crystal_7	40	30	30	1	100					
210	13	4859973	2915966	1944007	971958	4859943455	2915966073	1943977382	971988691	crystal_7	40	30	30	1	100					
211	13	4902640	2941566	1961074	980491	4902610120	2941566072	1961044048	980522024	crystal_7	40	30	30	1	100					
212	13	4945307	2967166	1978141	989024	4945276785	2967166071	1978110714	989055357	crystal_7	40	30	30	1	100					
213	13	4987974	2992766	1995208	997557	4987943450	2992766070	1995177380	997588690	crystal_7	40	30	30	1	100					
214	13	5030641	3018366	2012275	1006090	5030610115	3018366069	2012244046	1006122023	crystal_7	40	30	30	1	100					
215	13	5073308	3043966	2029342	1014623	5073276780	3043966068	2029310712	1014655356	crystal_7	40	30	30	1	100					
216	13	5115975	3069566	2046409	1023156	5115943445	3069566067	2046377378	1023188689	crystal_7	40	30	30	1	100					
217	13	5158642	3095166	2063476	1031689	5158610110	3095166066	2063444044	1031722022	crystal_7	40	30	30	1	100					
218	13	5201309	3120766	2080543	1040222	5201276775	3120766065	2080510710	1040255355	crystal_7	40	30	30	1	100					
219	13	5243976	3146366	2097610	1048755	5243943440	3146366064	2097577376	1048788688	crystal_7	40	30	30	1	100					
220	13	5286643	3171966	2114677	1057288	5286610105	3171966063	2114644042	1057322021	crystal_7	40	30	30	1	100					
221	13	5329310	3197566	2131744	1065821	5329276770	3197566062	2131710708	1065855354	crystal_7	40	30	30	1	100					
222	13	5371977	3223166	2148811	1074354	5371943435	3223166061	2148777374	1074388687	crystal_7	40	30	30	1	100					
223	13	5414644	3248766	2165878	1082887	5414610100	3248766060	2165844040	1082922020	crystal_7	40	30	30	1	100					
224	13	5457311	3274366	2182945	1091420	5457276765	3274366059	2182910706	1091455353	crystal_7	40	30	30	1	100					
225	13	5499978	3299966	2200012	1099953	5499943430	3299966058	2199977372	1099988686	crystal_7	40	30	30	1	100					
226	13	5542645	3325566	2217079	1108486	5542610095	3325566057	2217044038	1108522019	crystal_7	40	30	30	1	100					
227	13	5585312	3351166	2234146	1117019	5585276760	3351166056	2234110704	1117055352	crystal_7	40	30	30	1	100					
228	13	5627979	3376766	2251213	1125552	5627943425	3376766055	2251177370	1125588685	crystal_7	40	30	30	1	100					
229	13	5670646	3402366	2268280	1134085	5670610090	3402366054	2268244036	1134122018	crystal_7	40	30	30	1	100					
230	13	5713313	3427966	2285347	1142618	5713276755	3427966053	2285310702	1142655351	crystal_7	40	30	30	1	100					
231	13	5755980	3453566	2302414	1151151	5755943420	3453566052	2302377368	1151188684	crystal_7	40	30	30	1	100					
232	13	5798647	3479166	2319481	1159684	5798610085	3479166051	2319444034	1159722017	crystal_7	40	30	30	1	100					
233	13	5841314	3504766	2336548	1168217	5841276750	3504766050	2336510700	1168255350	crystal_7	40	30	30	1	100					
234	13	5883981	3530366	2353615	1176750	5883943415	3530366049	2353577366	1176788683	crystal_7	40	30	30	1	100					
235	13	5926648	3555966	2370682	1185283	5926610080	3555966048	2370644032	1185322016	crystal_7	40	30	30	1	100					
236	13	5969315	3581566	2387749	1193816	5969276745	3581566047	2387710698	1193855349	crystal_7	40	30	30	1	100					
237	13	6011982	3607166	2404816	1202349	6011943410	3607166046	2404777364	1202388682	crystal_7	40	30	30	1	100					
238	13	6054649	3632766	2421883	1210882	6054610075	3632766045	2421844030	1210922015	crystal_7	40	30	30	1	100					
239	13	6097316	3658366	2438950	1219415	6097276740	3658366044	2438910696	1219455348	crystal_7	40	30	30	1	100					
240	13	6139983	3683966	2456017	1227948	6139943405	3683966043	2455977362	1227988681	crystal_7	40	30	30	1	100					
241	13	6182650	3709566	2473084	1236481	6182610070	3709566042	2473044028	1236522014	crystal_7	40	30	30	1	100					
242	13	6225317	3735166	2490151	1245014	6225276735	3735166041	2490110694	1245055347	crystal_7	40	30	30	1	100					
243	13	6267984	3760766	2507218	1253547	6267943400	3760766040	2507177360	1253588680	crystal_7	40	30	30	1	100					
244	13	6310651	3786366	2524285	1262080	6310610065	3786366039	2524244026	1262122013	crystal_7	40	30	30	1	100					
245	13	6353318	3811966	2541352	1270613	6353276730	3811966038	2541310692	1270655346	crystal_7	40	30	30	1	100					
246	13	6395985	3837566	2558419	1279146	6395943395	3837566037	2558377358	1279188679	crystal_7	40	30	30	1	100					
247	13	6438652	3863166	2575486	1287679	6438610060	3863166036	2575444024	1287722012	crystal_7	40	30	30	1	100					
248	13	6481319	3888766	2592553	1296212	6481276725	3888766035	2592510690	1296255345	crystal_7	40	30	30	1	100					
249	13	6523986	3914366	2609620	1304745	6523943390	3914366034	2609577356	1304788678	crystal_7	40	30	30	1	100					
250	13	6566653	3939966	2626687	1313278	6566610055	3939966033	2626644022	1313322011	crystal_7	40	30	30	1	100					
251	13	6609320	3965566	2643754	1321811	6609276720	3965566032	2643710688	1321855344	crystal_7	40	30	30	1	100					
252	13	6651987	3991166	2660821	1330344	6651943385	3991166031	2660777354	1330388677	crystal_7	40	30	30	1	100					
253	13	6694654	4016766	2677888	1338877	6694610050	4016766030	2677844020	1338922010	crystal_7	40	30	30	1	100					
254	13	6737321	4042366	2694955	1347410	6737276715	4042366029	2694910686	1347455343	crystal_7	40	30	30	1	100					
255	13	6779988	4067966	2712022	1355943	6779943380	4067966028	2711977352	1355988676	crystal_7	40	30	30	1	100					
256	13	6822655	4093566	2729089	1364476	6822610045	4093566027	2729044018	1364522009	crystal_7	40	30	30	1	100					
257	13	6865322	4119166	2746156	1373009	6865276710	4119166026	2746110684	1373055342	crystal_7	40	30	30	1	100					
258	13	6907989	4144766	2763223	1381542	6907943375	4144766025	2763177350	1381588675	crystal_7	40	30	30	1	100					
259	13	6950656	4170366	2780290	1390075	6950610040	4170366024	2780244016	1390122008	crystal_7	40	30	30	1	100					
260	13	6993323	4195966	2797357	1398608	6993276705	4195966023	2797310682	1398655341	crystal_7	40	30	30	1	100					
261	13	7035990	4221566	2814424	1407141	7035943370	4221566022	2814377348	1407188674	crystal_7	40	30	30	1	100					
262	13	7078657	4247166	2831491	1415674	7078610035	4247166021	2831444014	1415722007	crystal_7	40	30	30	1	100					
263	13	7121324	4272766	2848558	1424207	7121276700	4272766020	2848510680	1424255340	crystal_7	40	30	30	1	100					
