AttribType	Level	Value1	Value2	Value3
lifemax_v	94	4400		
lifemax_v	95	4500		
lifemax_v	96	4600		
lifemax_v	97	4700		
lifemax_v	98	4800		
lifemax_v	99	4900		
lifemax_v	100	5000		
lifemax_v	101	5200		
lifemax_v	102	5400		
lifemax_v	103	5600		
lifemax_v	104	5800		
lifemax_v	105	6000		
lifemax_v	106	6200		
lifemax_v	107	6400		
lifemax_v	108	6600		
lifemax_v	109	6800		
lifemax_v	110	7000		
lifemax_v	111	7300		
lifemax_v	112	7600		
lifemax_v	113	7900		
lifemax_v	114	8200		
lifemax_v	115	8500		
lifemax_v	116	8800		
lifemax_v	117	9100		
lifemax_v	118	9400		
lifemax_v	119	9700		
lifemax_v	120	10000		
lifemax_v	121	10300		
lifemax_v	122	10600		
lifemax_v	123	10900		
lifemax_v	124	11200		
lifemax_v	125	11500		
lifemax_v	126	11800		
lifemax_v	127	12100		
lifemax_v	128	12400		
lifemax_v	129	12700		
lifemax_v	130	13000		
lifemax_v	131	13300		
lifemax_v	132	13600		
lifemax_v	133	13900		
lifemax_v	134	14200		
lifemax_v	135	14500		
lifemax_v	136	14800		
lifemax_v	137	15100		
lifemax_v	138	15400		
lifemax_v	139	15700		
lifemax_v	140	16000		
lifemax_v	141	16300		
lifemax_v	142	16600		
lifemax_v	143	16900		
lifemax_v	144	17200		
lifemax_v	145	17500		
lifemax_v	146	17800		
lifemax_v	147	18100		
lifemax_v	148	18400		
lifemax_v	149	18700		
lifemax_v	150	19000		
lifemax_v	151	19300		
lifemax_v	152	19600		
lifemax_v	153	19900		
lifemax_v	154	20200		
lifemax_v	155	20500		
lifemax_v	156	20800		
lifemax_v	157	21100		
lifemax_v	158	21400		
lifemax_v	159	21700		
lifemax_v	160	22000		
lifemax_v	161	22300		
lifemax_v	162	22600		
lifemax_v	163	22900		
lifemax_v	164	23200		
lifemax_v	165	23500		
lifemax_v	166	23800		
lifemax_v	167	24100		
lifemax_v	168	24400		
lifemax_v	169	24700		
lifemax_v	170	25000		
lifemax_v	171	25300		
lifemax_v	172	25600		
lifemax_v	173	25900		
lifemax_v	174	26200		
lifemax_v	175	26500		
lifemax_v	176	26800		
lifemax_v	177	27100		
lifemax_v	178	27400		
lifemax_v	179	27700		
lifemax_v	180	28000		
lifemax_v	181	28300		
lifemax_v	182	28600		
lifemax_v	183	28900		
lifemax_v	184	29200		
lifemax_v	185	29500		
lifemax_v	186	29800		
lifemax_v	187	30100		
lifemax_v	188	30400		
lifemax_v	189	30700		
lifemax_v	190	31000		
lifemax_v	191	31300		
lifemax_v	192	31600		
lifemax_v	193	31900		
lifemax_v	194	32200		
lifemax_v	195	32500		
lifemax_v	196	32800		
lifemax_v	197	33100		
lifemax_v	198	33400		
lifemax_v	199	33700		
lifemax_v	200	34000		
lifemax_v	201	34300		
lifemax_v	202	34600		
lifemax_v	203	34900		
lifemax_v	204	35200		
lifemax_v	205	35500		
lifemax_v	206	35800		
lifemax_v	207	36100		
lifemax_v	208	36400		
lifemax_v	209	36700		
lifemax_v	210	37000		
lifemax_v	211	37300		
lifemax_v	212	37600		
lifemax_v	213	37900		
lifemax_v	214	38200		
lifemax_v	215	38500		
lifemax_v	216	38800		
lifemax_v	217	39100		
lifemax_v	218	39400		
lifemax_v	219	39700		
lifemax_v	220	40000		
lifemax_v	221	40300		
lifemax_v	222	40600		
lifemax_v	223	40900		
lifemax_v	224	41200		
lifemax_v	225	41500		
lifemax_v	226	41800		
lifemax_v	227	42100		
lifemax_v	228	42400		
lifemax_v	229	42700		
lifemax_v	230	43000		
lifemax_v	231	43300		
lifemax_v	232	43600		
lifemax_v	233	43900		
lifemax_v	234	44200		
lifemax_v	235	44500		
lifemax_v	236	44800		
lifemax_v	237	45100		
lifemax_v	238	45400		
lifemax_v	239	45700		
lifemax_v	240	46000		
lifemax_v	241	46300		
lifemax_v	242	46600		
lifemax_v	243	46900		
lifemax_v	244	47200		
lifemax_v	245	47500		
lifemax_v	246	47800		
lifemax_v	247	48100		
lifemax_v	248	48400		
lifemax_v	249	48700		
lifemax_v	250	49000		
lifemax_v	251	49300		
lifemax_v	252	49600		
lifemax_v	253	49900		
lifemax_v	254	50200		
lifemax_v	255	50500		
lifemax_v	256	50800		
lifemax_v	257	51100		
lifemax_v	258	51400		
lifemax_v	259	51700		
lifemax_v	260	52000		
lifemax_v	261	52300		
lifemax_v	262	52600		
lifemax_v	263	52900		
lifemax_v	264	53200		
lifemax_v	265	53500		
lifemax_v	266	53800		
lifemax_v	267	54100		
lifemax_v	268	54400		
lifemax_v	269	54700		
lifemax_v	270	55000		
lifemax_v	271	55300		
lifemax_v	272	55600		
lifemax_v	273	55900		
lifemax_v	274	56200		
lifemax_v	275	56500		
lifemax_v	276	56800		
lifemax_v	277	57100		
lifemax_v	278	57400		
lifemax_v	279	57700		
lifemax_v	280	58000		
lifemax_v	281	58300		
lifemax_v	282	58600		
lifemax_v	283	58900		
lifemax_v	284	59200		
lifemax_v	285	59500		
lifemax_v	286	59800		
lifemax_v	287	60100		
lifemax_v	288	60400		
lifemax_v	289	60700		
lifemax_v	290	61000		
lifemax_v	291	61300		
lifemax_v	292	61600		
lifemax_v	293	61900		
lifemax_v	294	62200		
lifemax_v	295	62500		
lifemax_v	296	62800		
lifemax_v	297	63100		
lifemax_v	298	63400		
lifemax_v	299	63700		
lifemax_v	300	64000		
lifemax_v	301	64300		
lifemax_v	302	64600		
lifemax_v	303	64900		
lifemax_v	304	65200		
lifemax_v	305	65500		
lifemax_v	306	65800		
lifemax_v	307	66100		
lifemax_v	308	66400		
lifemax_v	309	66700		
lifemax_v	310	67000		
lifemax_v	311	67300		
lifemax_v	312	67600		
lifemax_v	313	67900		
lifemax_v	314	68200		
lifemax_v	315	68500		
lifemax_v	316	68800		
lifemax_v	317	69100		
lifemax_v	318	69400		
lifemax_v	319	69700		
lifemax_v	320	70000		
lifemax_v	321	70300		
lifemax_v	322	70600		
lifemax_v	323	70900		
lifemax_v	324	71200		
lifemax_v	325	71500		
lifemax_v	326	71800		
lifemax_v	327	72100		
lifemax_v	328	72400		
lifemax_v	329	72700		
lifemax_v	330	73000		
lifemax_v	331	73300		
lifemax_v	332	73600		
lifemax_v	333	73900		
lifemax_v	334	74200		
lifemax_v	335	74500		
lifemax_v	336	74800		
lifemax_v	337	75100		
lifemax_v	338	75400		
lifemax_v	339	75700		
lifemax_v	340	76000		
lifemax_v	341	76300		
lifemax_v	342	76600		
lifemax_v	343	76900		
lifemax_v	344	77200		
lifemax_v	345	77500		
lifemax_v	346	77800		
lifemax_v	347	78100		
lifemax_v	348	78400		
lifemax_v	349	78700		
lifemax_v	350	79000		
lifemax_v	351	79300		
lifemax_v	352	79600		
lifemax_v	353	79900		
lifemax_v	354	80200		
lifemax_v	355	80500		
lifemax_v	356	80800		
lifemax_v	357	81100		
lifemax_v	358	81400		
lifemax_v	359	81700		
lifemax_v	360	82000		
lifemax_v	361	82300		
lifemax_v	362	82600		
lifemax_v	363	82900		
lifemax_v	364	83200		
lifemax_v	365	83500		
lifemax_v	366	83800		
lifemax_v	367	84100		
lifemax_v	368	84400		
lifemax_v	369	84700		
lifemax_v	370	85000		
lifemax_v	371	85300		
lifemax_v	372	85600		
lifemax_v	373	85900		
lifemax_v	374	86200		
lifemax_v	375	86500		
lifemax_v	376	86800		
lifemax_v	377	87100		
lifemax_v	378	87400		
lifemax_v	379	87700		
lifemax_v	380	88000		
lifemax_v	381	88300		
lifemax_v	382	88600		
lifemax_v	383	88900		
lifemax_v	384	89200		
lifemax_v	385	89500		
lifemax_v	386	89800		
lifemax_v	387	90100		
lifemax_v	388	90400		
lifemax_v	389	90700		
lifemax_v	390	91000		
lifemax_v	391	91300		
lifemax_v	392	91600		
lifemax_v	393	91900		
lifemax_v	394	92200		
lifemax_v	395	92500		
lifemax_v	396	92800		
lifemax_v	397	93100		
lifemax_v	398	93400		
lifemax_v	399	93700		
lifemax_v	400	94000		
lifemax_v	401	94300		
lifemax_v	402	94600		
lifemax_v	403	94900		
lifemax_v	404	95200		
lifemax_v	405	95500		
lifemax_v	406	95800		
lifemax_v	407	96100		
lifemax_v	408	96400		
lifemax_v	409	96700		
lifemax_v	410	97000		
lifemax_v	411	97300		
lifemax_v	412	97600		
lifemax_v	413	97900		
lifemax_v	414	98200		
lifemax_v	415	98500		
lifemax_v	416	98800		
lifemax_v	417	99100		
lifemax_v	418	99400		
lifemax_v	419	99700		
lifemax_v	420	100000		
lifemax_v	421	100300		
lifemax_v	422	100600		
lifemax_v	423	100900		
lifemax_v	424	101200		
lifemax_v	425	101500		
lifemax_v	426	101800		
lifemax_v	427	102100		
lifemax_v	428	102400		
lifemax_v	429	102700		
lifemax_v	430	103000		
lifemax_v	431	103300		
lifemax_v	432	103600		
lifemax_v	433	103900		
lifemax_v	434	104200		
lifemax_v	435	104500		
lifemax_v	436	104800		
lifemax_v	437	105100		
lifemax_v	438	105400		
lifemax_v	439	105700		
lifemax_v	440	106000		
lifemax_v	441	106300		
lifemax_v	442	106600		
lifemax_v	443	106900		
lifemax_v	444	107200		
lifemax_v	445	107500		
lifemax_v	446	107800		
lifemax_v	447	108100		
lifemax_v	448	108400		
lifemax_v	449	108700		
lifemax_v	450	109000		
lifemax_v	451	109300		
lifemax_v	452	109600		
lifemax_v	453	109900		
lifemax_v	454	110200		
lifemax_v	455	110500		
lifemax_v	456	110800		
lifemax_v	457	111100		
lifemax_v	458	111400		
lifemax_v	459	111700		
lifemax_v	460	112000		
lifemax_v	461	112300		
lifemax_v	462	112600		
lifemax_v	463	112900		
lifemax_v	464	113200		
lifemax_v	465	113500		
lifemax_v	466	113800		
lifemax_v	467	114100		
lifemax_v	468	114400		
lifemax_v	469	114700		
lifemax_v	470	115000		
lifemax_v	471	115300		
lifemax_v	472	115600		
lifemax_v	473	115900		
lifemax_v	474	116200		
lifemax_v	475	116500		
lifemax_v	476	116800		
lifemax_v	477	117100		
lifemax_v	478	117400		
lifemax_v	479	117700		
lifemax_v	480	118000		
lifemax_v	481	118300		
lifemax_v	482	118600		
lifemax_v	483	118900		
lifemax_v	484	119200		
lifemax_v	485	119500		
lifemax_v	486	119800		
lifemax_v	487	120100		
lifemax_v	488	120400		
lifemax_v	489	120700		
lifemax_v	490	121000		
lifemax_v	491	121300		
lifemax_v	492	121600		
lifemax_v	493	121900		
lifemax_v	494	122200		
lifemax_v	495	122500		
lifemax_v	496	122800		
lifemax_v	497	123100		
lifemax_v	498	123400		
lifemax_v	499	123700		
lifemax_v	500	124000		
basic_damage_v	1	6		6
basic_damage_v	2	12		12
basic_damage_v	3	18		18
basic_damage_v	4	24		24
basic_damage_v	5	30		30
basic_damage_v	6	36		36
basic_damage_v	7	42		42
basic_damage_v	8	48		48
basic_damage_v	9	54		54
basic_damage_v	10	60		60
basic_damage_v	11	66		66
basic_damage_v	12	72		72
basic_damage_v	13	78		78
basic_damage_v	14	84		84
basic_damage_v	15	90		90
basic_damage_v	16	96		96
basic_damage_v	17	102		102
basic_damage_v	18	108		108
basic_damage_v	19	114		114
basic_damage_v	20	120		120
basic_damage_v	21	126		126
basic_damage_v	22	132		132
basic_damage_v	23	138		138
basic_damage_v	24	144		144
basic_damage_v	25	150		150
basic_damage_v	26	156		156
basic_damage_v	27	162		162
basic_damage_v	28	168		168
basic_damage_v	29	174		174
basic_damage_v	30	180		180
basic_damage_v	31	186		186
basic_damage_v	32	192		192
basic_damage_v	33	198		198
basic_damage_v	34	204		204
basic_damage_v	35	210		210
basic_damage_v	36	216		216
basic_damage_v	37	222		222
basic_damage_v	38	228		228
basic_damage_v	39	234		234
basic_damage_v	40	240		240
basic_damage_v	41	246		246
basic_damage_v	42	252		252
basic_damage_v	43	258		258
basic_damage_v	44	264		264
basic_damage_v	45	270		270
basic_damage_v	46	276		276
basic_damage_v	47	282		282
basic_damage_v	48	288		288
basic_damage_v	49	294		294
basic_damage_v	50	300		300
basic_damage_v	51	306		306
basic_damage_v	52	312		312
basic_damage_v	53	318		318
basic_damage_v	54	324		324
basic_damage_v	55	330		330
basic_damage_v	56	336		336
basic_damage_v	57	342		342
basic_damage_v	58	348		348
basic_damage_v	59	354		354
basic_damage_v	60	360		360
basic_damage_v	61	366		366
basic_damage_v	62	372		372
basic_damage_v	63	378		378
basic_damage_v	64	384		384
basic_damage_v	65	390		390
basic_damage_v	66	396		396
basic_damage_v	67	402		402
basic_damage_v	68	408		408
basic_damage_v	69	414		414
basic_damage_v	70	420		420
basic_damage_v	71	426		426
basic_damage_v	72	432		432
basic_damage_v	73	438		438
basic_damage_v	74	444		444
basic_damage_v	75	450		450
basic_damage_v	76	456		456
basic_damage_v	77	462		462
basic_damage_v	78	468		468
basic_damage_v	79	474		474
basic_damage_v	80	480		480
basic_damage_v	81	492		492
basic_damage_v	82	504		504
basic_damage_v	83	516		516
basic_damage_v	84	528		528
basic_damage_v	85	540		540
basic_damage_v	86	552		552
basic_damage_v	87	564		564
basic_damage_v	88	576		576
basic_damage_v	89	588		588
basic_damage_v	90	600		600
basic_damage_v	91	615		615
basic_damage_v	92	630		630
basic_damage_v	93	645		645
basic_damage_v	94	660		660
basic_damage_v	95	675		675
basic_damage_v	96	690		690
basic_damage_v	97	705		705
basic_damage_v	98	720		720
basic_damage_v	99	735		735
basic_damage_v	100	750		750
basic_damage_v	101	780		780
basic_damage_v	102	810		810
basic_damage_v	103	840		840
basic_damage_v	104	870		870
basic_damage_v	105	900		900
basic_damage_v	106	930		930
basic_damage_v	107	960		960
basic_damage_v	108	990		990
basic_damage_v	109	1020		1020
basic_damage_v	110	1050		1050
basic_damage_v	111	1095		1095
basic_damage_v	112	1140		1140
basic_damage_v	113	1185		1185
basic_damage_v	114	1230		1230
basic_damage_v	115	1275		1275
basic_damage_v	116	1320		1320
basic_damage_v	117	1365		1365
basic_damage_v	118	1410		1410
basic_damage_v	119	1455		1455
basic_damage_v	120	1500		1500
basic_damage_v	121	1545		1545
basic_damage_v	122	1590		1590
basic_damage_v	123	1635		1635
basic_damage_v	124	1680		1680
basic_damage_v	125	1725		1725
basic_damage_v	126	1770		1770
basic_damage_v	127	1815		1815
basic_damage_v	128	1860		1860
basic_damage_v	129	1905		1905
basic_damage_v	130	1950		1950
basic_damage_v	131	1995		1995
basic_damage_v	132	2040		2040
basic_damage_v	133	2085		2085
basic_damage_v	134	2130		2130
basic_damage_v	135	2175		2175
basic_damage_v	136	2220		2220
basic_damage_v	137	2265		2265
basic_damage_v	138	2310		2310
basic_damage_v	139	2355		2355
basic_damage_v	140	2400		2400
basic_damage_v	141	2445		2445
basic_damage_v	142	2490		2490
basic_damage_v	143	2535		2535
basic_damage_v	144	2580		2580
basic_damage_v	145	2625		2625
basic_damage_v	146	2670		2670
basic_damage_v	147	2715		2715
basic_damage_v	148	2760		2760
basic_damage_v	149	2805		2805
basic_damage_v	150	2850		2850
basic_damage_v	151	2895		2895
basic_damage_v	152	2940		2940
basic_damage_v	153	2985		2985
basic_damage_v	154	3030		3030
basic_damage_v	155	3075		3075
basic_damage_v	156	3120		3120
basic_damage_v	157	3165		3165
basic_damage_v	158	3210		3210
basic_damage_v	159	3255		3255
basic_damage_v	160	3300		3300
basic_damage_v	161	3345		3345
basic_damage_v	162	3390		3390
basic_damage_v	163	3435		3435
basic_damage_v	164	3480		3480
basic_damage_v	165	3525		3525
basic_damage_v	166	3570		3570
basic_damage_v	167	3615		3615
basic_damage_v	168	3660		3660
basic_damage_v	169	3705		3705
basic_damage_v	170	3750		3750
basic_damage_v	171	3795		3795
basic_damage_v	172	3840		3840
basic_damage_v	173	3885		3885
basic_damage_v	174	3930		3930
basic_damage_v	175	3975		3975
basic_damage_v	176	4020		4020
basic_damage_v	177	4065		4065
basic_damage_v	178	4110		4110
basic_damage_v	179	4155		4155
basic_damage_v	180	4200		4200
basic_damage_v	181	4245		4245
basic_damage_v	182	4290		4290
basic_damage_v	183	4335		4335
basic_damage_v	184	4380		4380
basic_damage_v	185	4425		4425
basic_damage_v	186	4470		4470
basic_damage_v	187	4515		4515
basic_damage_v	188	4560		4560
basic_damage_v	189	4605		4605
basic_damage_v	190	4650		4650
basic_damage_v	191	4695		4695
basic_damage_v	192	4740		4740
basic_damage_v	193	4785		4785
basic_damage_v	194	4830		4830
basic_damage_v	195	4875		4875
basic_damage_v	196	4920		4920
basic_damage_v	197	4965		4965
basic_damage_v	198	5010		5010
basic_damage_v	199	5055		5055
basic_damage_v	200	5100		5100
basic_damage_v	201	5145		5145
basic_damage_v	202	5190		5190
basic_damage_v	203	5235		5235
basic_damage_v	204	5280		5280
basic_damage_v	205	5325		5325
basic_damage_v	206	5370		5370
basic_damage_v	207	5415		5415
basic_damage_v	208	5460		5460
basic_damage_v	209	5505		5505
basic_damage_v	210	5550		5550
basic_damage_v	211	5595		5595
basic_damage_v	212	5640		5640
basic_damage_v	213	5685		5685
basic_damage_v	214	5730		5730
basic_damage_v	215	5775		5775
basic_damage_v	216	5820		5820
basic_damage_v	217	5865		5865
basic_damage_v	218	5910		5910
basic_damage_v	219	5955		5955
basic_damage_v	220	6000		6000
basic_damage_v	221	6045		6045
basic_damage_v	222	6090		6090
basic_damage_v	223	6135		6135
basic_damage_v	224	6180		6180
basic_damage_v	225	6225		6225
basic_damage_v	226	6270		6270
basic_damage_v	227	6315		6315
basic_damage_v	228	6360		6360
basic_damage_v	229	6405		6405
basic_damage_v	230	6450		6450
basic_damage_v	231	6495		6495
basic_damage_v	232	6540		6540
basic_damage_v	233	6585		6585
basic_damage_v	234	6630		6630
basic_damage_v	235	6675		6675
basic_damage_v	236	6720		6720
basic_damage_v	237	6765		6765
basic_damage_v	238	6810		6810
basic_damage_v	239	6855		6855
basic_damage_v	240	6900		6900
basic_damage_v	241	6945		6945
basic_damage_v	242	6990		6990
basic_damage_v	243	7035		7035
basic_damage_v	244	7080		7080
basic_damage_v	245	7125		7125
basic_damage_v	246	7170		7170
basic_damage_v	247	7215		7215
basic_damage_v	248	7260		7260
basic_damage_v	249	7305		7305
basic_damage_v	250	7350		7350
basic_damage_v	251	7395		7395
basic_damage_v	252	7440		7440
basic_damage_v	253	7485		7485
basic_damage_v	254	7530		7530
basic_damage_v	255	7575		7575
basic_damage_v	256	7620		7620
basic_damage_v	257	7665		7665
basic_damage_v	258	7710		7710
basic_damage_v	259	7755		7755
basic_damage_v	260	7800		7800
basic_damage_v	261	7845		7845
basic_damage_v	262	7890		7890
basic_damage_v	263	7935		7935
basic_damage_v	264	7980		7980
basic_damage_v	265	8025		8025
basic_damage_v	266	8070		8070
basic_damage_v	267	8115		8115
basic_damage_v	268	8160		8160
basic_damage_v	269	8205		8205
basic_damage_v	270	8250		8250
basic_damage_v	271	8295		8295
basic_damage_v	272	8340		8340
basic_damage_v	273	8385		8385
basic_damage_v	274	8430		8430
basic_damage_v	275	8475		8475
basic_damage_v	276	8520		8520
basic_damage_v	277	8565		8565
basic_damage_v	278	8610		8610
basic_damage_v	279	8655		8655
basic_damage_v	280	8700		8700
basic_damage_v	281	8745		8745
basic_damage_v	282	8790		8790
basic_damage_v	283	8835		8835
basic_damage_v	284	8880		8880
basic_damage_v	285	8925		8925
basic_damage_v	286	8970		8970
basic_damage_v	287	9015		9015
basic_damage_v	288	9060		9060
basic_damage_v	289	9105		9105
basic_damage_v	290	9150		9150
basic_damage_v	291	9195		9195
basic_damage_v	292	9240		9240
basic_damage_v	293	9285		9285
basic_damage_v	294	9330		9330
basic_damage_v	295	9375		9375
basic_damage_v	296	9420		9420
basic_damage_v	297	9465		9465
basic_damage_v	298	9510		9510
basic_damage_v	299	9555		9555
basic_damage_v	300	9600		9600
basic_damage_v	301	9645		9645
basic_damage_v	302	9690		9690
basic_damage_v	303	9735		9735
basic_damage_v	304	9780		9780
basic_damage_v	305	9825		9825
basic_damage_v	306	9870		9870
basic_damage_v	307	9915		9915
basic_damage_v	308	9960		9960
basic_damage_v	309	10005		10005
basic_damage_v	310	10050		10050
basic_damage_v	311	10095		10095
basic_damage_v	312	10140		10140
basic_damage_v	313	10185		10185
basic_damage_v	314	10230		10230
basic_damage_v	315	10275		10275
basic_damage_v	316	10320		10320
basic_damage_v	317	10365		10365
basic_damage_v	318	10410		10410
basic_damage_v	319	10455		10455
basic_damage_v	320	10500		10500
basic_damage_v	321	10545		10545
basic_damage_v	322	10590		10590
basic_damage_v	323	10635		10635
basic_damage_v	324	10680		10680
basic_damage_v	325	10725		10725
basic_damage_v	326	10770		10770
basic_damage_v	327	10815		10815
basic_damage_v	328	10860		10860
basic_damage_v	329	10905		10905
basic_damage_v	330	10950		10950
basic_damage_v	331	10995		10995
basic_damage_v	332	11040		11040
basic_damage_v	333	11085		11085
basic_damage_v	334	11130		11130
basic_damage_v	335	11175		11175
basic_damage_v	336	11220		11220
basic_damage_v	337	11265		11265
basic_damage_v	338	11310		11310
basic_damage_v	339	11355		11355
basic_damage_v	340	11400		11400
basic_damage_v	341	11445		11445
basic_damage_v	342	11490		11490
basic_damage_v	343	11535		11535
basic_damage_v	344	11580		11580
basic_damage_v	345	11625		11625
basic_damage_v	346	11670		11670
basic_damage_v	347	11715		11715
basic_damage_v	348	11760		11760
basic_damage_v	349	11805		11805
basic_damage_v	350	11850		11850
basic_damage_v	351	11895		11895
basic_damage_v	352	11940		11940
basic_damage_v	353	11985		11985
basic_damage_v	354	12030		12030
basic_damage_v	355	12075		12075
basic_damage_v	356	12120		12120
basic_damage_v	357	12165		12165
basic_damage_v	358	12210		12210
basic_damage_v	359	12255		12255
basic_damage_v	360	12300		12300
basic_damage_v	361	12345		12345
basic_damage_v	362	12390		12390
basic_damage_v	363	12435		12435
basic_damage_v	364	12480		12480
basic_damage_v	365	12525		12525
basic_damage_v	366	12570		12570
basic_damage_v	367	12615		12615
basic_damage_v	368	12660		12660
basic_damage_v	369	12705		12705
basic_damage_v	370	12750		12750
basic_damage_v	371	12795		12795
basic_damage_v	372	12840		12840
basic_damage_v	373	12885		12885
basic_damage_v	374	12930		12930
basic_damage_v	375	12975		12975
basic_damage_v	376	13020		13020
basic_damage_v	377	13065		13065
basic_damage_v	378	13110		13110
basic_damage_v	379	13155		13155
basic_damage_v	380	13200		13200
basic_damage_v	381	13245		13245
basic_damage_v	382	13290		13290
basic_damage_v	383	13335		13335
basic_damage_v	384	13380		13380
basic_damage_v	385	13425		13425
basic_damage_v	386	13470		13470
basic_damage_v	387	13515		13515
basic_damage_v	388	13560		13560
basic_damage_v	389	13605		13605
basic_damage_v	390	13650		13650
basic_damage_v	391	13695		13695
basic_damage_v	392	13740		13740
basic_damage_v	393	13785		13785
basic_damage_v	394	13830		13830
basic_damage_v	395	13875		13875
basic_damage_v	396	13920		13920
basic_damage_v	397	13965		13965
basic_damage_v	398	14010		14010
basic_damage_v	399	14055		14055
basic_damage_v	400	14100		14100
basic_damage_v	401	14145		14145
basic_damage_v	402	14190		14190
basic_damage_v	403	14235		14235
basic_damage_v	404	14280		14280
basic_damage_v	405	14325		14325
basic_damage_v	406	14370		14370
basic_damage_v	407	14415		14415
basic_damage_v	408	14460		14460
basic_damage_v	409	14505		14505
basic_damage_v	410	14550		14550
basic_damage_v	411	14595		14595
basic_damage_v	412	14640		14640
basic_damage_v	413	14685		14685
basic_damage_v	414	14730		14730
basic_damage_v	415	14775		14775
basic_damage_v	416	14820		14820
basic_damage_v	417	14865		14865
basic_damage_v	418	14910		14910
basic_damage_v	419	14955		14955
basic_damage_v	420	15000		15000
basic_damage_v	421	15045		15045
basic_damage_v	422	15090		15090
basic_damage_v	423	15135		15135
basic_damage_v	424	15180		15180
basic_damage_v	425	15225		15225
basic_damage_v	426	15270		15270
basic_damage_v	427	15315		15315
basic_damage_v	428	15360		15360
basic_damage_v	429	15405		15405
basic_damage_v	430	15450		15450
basic_damage_v	431	15495		15495
basic_damage_v	432	15540		15540
basic_damage_v	433	15585		15585
basic_damage_v	434	15630		15630
basic_damage_v	435	15675		15675
basic_damage_v	436	15720		15720
basic_damage_v	437	15765		15765
basic_damage_v	438	15810		15810
basic_damage_v	439	15855		15855
basic_damage_v	440	15900		15900
basic_damage_v	441	15945		15945
basic_damage_v	442	15990		15990
basic_damage_v	443	16035		16035
basic_damage_v	444	16080		16080
basic_damage_v	445	16125		16125
basic_damage_v	446	16170		16170
basic_damage_v	447	16215		16215
basic_damage_v	448	16260		16260
basic_damage_v	449	16305		16305
basic_damage_v	450	16350		16350
basic_damage_v	451	16395		16395
basic_damage_v	452	16440		16440
basic_damage_v	453	16485		16485
basic_damage_v	454	16530		16530
basic_damage_v	455	16575		16575
basic_damage_v	456	16620		16620
basic_damage_v	457	16665		16665
basic_damage_v	458	16710		16710
basic_damage_v	459	16755		16755
basic_damage_v	460	16800		16800
basic_damage_v	461	16845		16845
basic_damage_v	462	16890		16890
basic_damage_v	463	16935		16935
basic_damage_v	464	16980		16980
basic_damage_v	465	17025		17025
basic_damage_v	466	17070		17070
basic_damage_v	467	17115		17115
basic_damage_v	468	17160		17160
basic_damage_v	469	17205		17205
basic_damage_v	470	17250		17250
basic_damage_v	471	17295		17295
basic_damage_v	472	17340		17340
basic_damage_v	473	17385		17385
basic_damage_v	474	17430		17430
basic_damage_v	475	17475		17475
basic_damage_v	476	17520		17520
basic_damage_v	477	17565		17565
basic_damage_v	478	17610		17610
basic_damage_v	479	17655		17655
basic_damage_v	480	17700		17700
basic_damage_v	481	17745		17745
