ProductId	szDesc	szServiceCode	nLastingDay	nMoney	szMoneyType	nNeedVipLevel	szAward	szFirstAward	szThirdAward	szFourthAward	szFifthAward	szGroup	nGroupIndex	szVersion	nEndTimeKey	nBuyDayKey	szSprite	szFirstDesc	szNoromalDesc	Plat
com.tencent.jxqy.return30	Quà Hào Hoa 100,000 VNĐ	return30	1	3000	RMB		item|2519|5;Gold|300					BackGift	5	version_tx	71				Quà Trị Giá 500,000 VNĐ	
com.vng.jxm.item1	Gói Nạp 20,000 VNĐ			200	VND		Gold|200000	Gold|400000				BuyGold	1	version_vn			Recharge_00	Tặng thêm 200000 Nguyên Bảo, chỉ 1 lần duy nhất	200000 Nguyên Bảo	
com.vng.jxm.item2	Gói Nạp 50,000 VNĐ			500	VND		Gold|1000000	Gold|2000000				BuyGold	2	version_vn			Recharge_02	Tặng thêm 1000000 Nguyên Bảo, chỉ 1 lần duy nhất	1000000 Nguyên Bảo	
com.vng.jxm.item3	Gói Nạp 100,000 VNĐ			1000	VND		Gold|2000000	Gold|4000000				BuyGold	3	version_vn			Recharge_03	Tặng thêm 2000000 Nguyên Bảo, chỉ 1 lần duy nhất	2000000 Nguyên Bảo	
com.vng.jxm.item4	Gói Nạp 500,000 VNĐ			5000	VND		Gold|10000000	Gold|20000000				BuyGold	4	version_vn			Recharge_04	Tặng thêm 10000000 Nguyên Bảo, chỉ 1 lần duy nhất	10000000 Nguyên Bảo	
com.vng.jxm.item5	Gói Nạp 1,000,000 VNĐ			10000	VND		Gold|20000000	Gold|40000000				BuyGold	5	version_vn			Recharge_05	Tặng thêm 20000000 Nguyên Bảo, chỉ 1 lần duy nhất	20000000 Nguyên Bảo	
com.vng.jxm.item6	Gói Nạp 1,500,000 VNĐ			15000	VND		Gold|30000000	Gold|60000000				BuyGold	6	version_vn			Recharge_06	Tặng thêm 30000000 Nguyên Bảo, chỉ 1 lần duy nhất	30000000 Nguyên Bảo	
com.vng.jxm.item14	Gói Nạp 5,000,000 VNĐ			50000	VND		Gold|20000	Gold|20000				BuyGoldServer	1	version_vn						
com.vng.jxm.item15	Gói Nạp 10,000,000 VNĐ			100000	VND		Gold|40000	Gold|40000				BuyGoldServer	2	version_vn						
com.vng.jxm.item7	Quà 7 Ngày		7	500	VND		Gold|1000000					DaysCard	1	version_vn	7		Recharge_09		Quà 7 Ngày	
com.vng.jxm.item8	Quà 30 Ngày		30	1000	VND		Gold|2000000					DaysCard	2	version_vn	2		Recharge_10		Quà 30 Ngày	
com.vng.jxm.item201	Quà Chí Tôn 7 Ngày		7	1000	VND		Gold|2000000					DaysCard	3	version_vn	82		Recharge_11		Quà Chí Tôn 7 Ngày	
com.vng.jxm.item9	Đầu Tư 1		999999	2000	VND							GrowInvest	1	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item16	Đầu Tư 2		999999	2000	VND							GrowInvest	2	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item17	Đầu Tư 3		999999	2000	VND							GrowInvest	3	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item105	Đầu Tư-Phiên Bản		999999	2000	VND							GrowInvest	4	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item18	Đầu Tư 4		999999	2000	VND							GrowInvest	5	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item19	Đầu Tư 5		999999	2000	VND							GrowInvest	6	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item86	Đầu Tư-Quay Về		999999	2000	VND	5						GrowInvest	7	version_vn					Quỹ Trưởng Thành 200,000 VNĐ	
com.vng.jxm.item20	Đầu Tư 6		999999	2000	VND							GrowInvest	8	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item50	Đầu Tư 7		999999	2000	VND							GrowInvest	9	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item110	Đầu Tư 8		999999	2000	VND							GrowInvest	10	version_vn					Quỹ trưởng thành 200.000 VNĐ	
com.vng.jxm.item21	Quà Mỗi Ngày 5,000 VNĐ		1	50	VND	1	item|1242|1;Gold|100000					DayGift	1	version_vn	16	14		Nhận ngay 100000 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
com.vng.jxm.item22	Quà Mỗi Ngày 10,000 VNĐ		1	100	VND	3	item|2518|1;Gold|200000					DayGift	2	version_vn	17	15		Nhận ngay 200000 Nguyên Bảo\nQuà trị giá 60,000 VNĐ	Mua 10,000 VNĐ	
com.vng.jxm.item10	Quà Mỗi Ngày 20,000 VNĐ		1	200	VND	5	item|2519|1;Gold|400000					DayGift	3	version_vn	11	13		Nhận ngay 400000 Nguyên Bảo\nQuà trị giá 100,000 VNĐ	Mua 20,000 VNĐ	
com.vng.jxm.item24	Combo Quà Mỗi Ngày (200,000 VNĐ 7 Ngày) 		7	2000	VND	5						DayGiftPlus	1	version_vn	61				Quà 7 Ngày	
com.vng.jxm.item63	1000 Ngân Sức			500	VND		SilverBoard|1000					DressMoney	1	version_vn						
com.vng.jxm.item61	2000 Ngân Sức			1000	VND		SilverBoard|2000					DressMoney	2	version_vn						
com.vng.jxm.item65	4200 Ngân Sức			2000	VND		SilverBoard|4200					DressMoney	3	version_vn						
com.vng.jxm.item101	Quà Thiên Long 20,000 VNĐ		1	200	VND		item|9954|1	item|9955|1	item|9956|1	item|9957|1	item|9957|1	YearGift	1	version_vn	40	41			Quà trị giá 600,000 VNĐ	
com.vng.jxm.item102	Quà Thiên Long 50,000 VNĐ		30	500	VND		item|9950|1	item|9951|1	item|9952|1	item|9953|1	item|9953|1	YearGift	2	version_vn	42	43			Quà trị giá 1,200,000 VNĐ	
com.vng.jxm.item103	Quà Thiên Long 200,000 VNĐ		30	2000	VND		item|9946|1	item|9947|1	item|9948|1	item|9949|1	item|9949|1	YearGift	3	version_vn	44	45			Quà trị giá 2,500,000 VNĐ	
com.vng.jxm.item104	Quà Thiên Long 300,000 VNĐ		30	3000	VND		item|9941|1	item|9942|1	item|9943|1	item|9944|1	item|9945|1	YearGift	4	version_vn	46	47			Quà trị giá 5,000,000 VNĐ	
com.vng.jxm.item30	Top 20		2	1000	VND		item|3922|1					DirectEnhance	1	version_vn	52			Mua 100,000 VNĐ	Quà 1,000,000 VNĐ	
com.vng.jxm.item31	Top 30		2	3000	VND		item|3923|1					DirectEnhance	2	version_vn	53			Mua 300,000 VNĐ	Quà 2,500,000 VNĐ	
com.vng.jxm.item32	Top 40		2	5000	VND		item|3924|1					DirectEnhance	3	version_vn	54			Mua 500,000 VNĐ	Quà 5,000,000 VNĐ	
com.vng.jxm.item33	Top 50		2	10000	VND		item|3925|1					DirectEnhance	4	version_vn	73			Mua 1,000,000 VNĐ	Quà 10,000,000 VNĐ	
com.vng.jxm.item81	Quà Trở Về 20,000 VNĐ		1	200	VND		Gold|1200000					BackGift	1	version_vn	67				Quà Trị Giá 160,000 VNĐ	
com.vng.jxm.item82	Quà Trở Về 100,000 VNĐ		1	1000	VND		Gold|12000000					BackGift	2	version_vn	68				Quà Trị Giá 1,600,000 VNĐ	
com.vng.jxm.item83	Quà Trở Về-Cực 20,000 VNĐ		1	200	VND		item|1242|6;Gold|600000					BackGift	3	version_vn	69				Quà Trị Giá 200,000 VNĐ	
com.vng.jxm.item84	Quà Phúc Lợi Trở Về 20,000 VNĐ		1	200	VND		item|2518|2;Gold|600000					BackGift	4	version_vn	70				Quà Trị Giá 10,000 VNĐ	
com.vng.jxm.item85	Quà Hào Hoa Trở Về 100,000 VNĐ		1	1000	VND		item|2519|5;Gold|3000000					BackGift	5	version_vn	71				Quà Trị Giá 500,000 VNĐ	
hk.jxqy.2usd	135 Nguyên Bảo		0	199	USD		Gold|135	Gold|270				BuyGold	1	version_hk			Recharge_00	Tặng thêm 135 Nguyên Bảo, chỉ 1 lần duy nhất	135 Nguyên Bảo	
hk.jxqy.5usd	340 Nguyên Bảo			499	USD		Gold|340	Gold|680				BuyGold	2	version_hk			Recharge_02	Tặng thêm 340 Nguyên Bảo, chỉ 1 lần duy nhất	340 Nguyên Bảo	
hk.jxqy.20usd	1360 Nguyên Bảo			1999	USD		Gold|1360	Gold|2720				BuyGold	3	version_hk			Recharge_03	Tặng thêm 1360 Nguyên Bảo, chỉ 1 lần duy nhất	1360 Nguyên Bảo	
hk.jxqy.30usd	2040 Nguyên Bảo			2999	USD		Gold|2040	Gold|4080				BuyGold	4	version_hk			Recharge_04	Tặng thêm 2040 Nguyên Bảo, chỉ 1 lần duy nhất	2040 Nguyên Bảo	
hk.jxqy.50usd	3400 Nguyên Bảo			4999	USD		Gold|3400	Gold|6800				BuyGold	5	version_hk			Recharge_05	Tặng thêm 3400 Nguyên Bảo, chỉ 1 lần duy nhất	3400 Nguyên Bảo	
hk.jxqy.100usd	6800 Nguyên Bảo			9999	USD		Gold|6800	Gold|13600				BuyGold	6	version_hk			Recharge_06	Tặng thêm 6800 Nguyên Bảo, chỉ 1 lần duy nhất	6800 Nguyên Bảo	
hk.jxqy.3usd.wc	Thẻ Tuần		7	299	USD		Gold|200					DaysCard	1	version_hk	7		Recharge_09		Quà 7 Ngày	
hk.jxqy.5usd.mc	Thẻ Tháng		30	499	USD		Gold|300					DaysCard	2	version_hk	2		Recharge_10		Quà 30 Ngày	
hk.jxqy.5usd.zzzk	Quà Chí Tôn 7 Ngày		7	499	USD		Gold|400					DaysCard	3	version_hk	82		Recharge_11		Quà Chí Tôn 7 Ngày	
hk.jxqy.13usd.ybwl	Đầu Tư Lv25		999999	1299	USD							GrowInvest	1	version_hk					Quỹ trưởng thành 12.99$	
hk.jxqy.15usd.ybwl2	Đầu Tư Lv65		999999	1499	USD							GrowInvest	2	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.16usd.ybwl3	Đầu Tư Lv90		999999	1599	USD							GrowInvest	3	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.8usd.tbjj	Quỹ Thông Bảo		30	799	USD							GrowInvest	4	version_hk					Quỹ 7.99 USD	
hk.jxqy.16usd.ybwl4.fix	Đầu Tư Lv100		999999	1599	USD							GrowInvest	5	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.16usd.ybwl5	Đầu Tư Lv110		999999	1599	USD							GrowInvest	6	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.15usd.hgyb	Đầu Tư-Quay Về		999999	1499	USD	5						GrowInvest	7	version_hk					Quỹ Trưởng Thành 200,000 VNĐ	
hk.jxqy.16usd.ybwl6	Đầu Tư Lv120		999999	1599	USD							GrowInvest	8	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.16usd.ybwl7	Đầu Tư Lv130		999999	1599	USD							GrowInvest	9	version_hk					Quỹ trưởng thành 200.000 VNĐ	
hk.jxqy.16usd.ybwl8	Đầu Tư Lv140		999999	1599	USD							GrowInvest	10	version_hk					Quỹ trưởng thành 200.000 VNĐ	
web.jxqy.1usd.bylb	Quà 1 VNĐ Client		1	99	USD		item|2821|1;Gold|68					DayGift	1	version_hk	11	13		Nhận ngay 20 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
hk.jxqy.1usd.bylb	Quà 5,000 VNĐ		1	99	USD		item|1242|1;Gold|68					DayGift	1	version_hk	11	13		Nhận ngay 20 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
hk.jxqy.2usd.hjlb	Quà 10,000 VNĐ		1	199	USD		item|2518|1;Gold|136					DayGift	2	version_hk	16	14		Nhận ngay 40 Nguyên Bảo\nQuà trị giá 60,000 VNĐ	Mua 10,000 VNĐ	
hk.jxqy.3usd.zslb	Quà 20,000 VNĐ		1	299	USD		item|2519|1;Gold|204					DayGift	3	version_hk	17	15		Nhận ngay 80 Nguyên Bảo\nQuà trị giá 100,000 VNĐ	Mua 20,000 VNĐ	
hk.jxqy.5usd.palb	Quà Năm Mới 100,000 VNĐ		1	499	USD		item|7149|1	item|7150|1	item|7151|1			YearGift	1	version_hk	40	41			Quà Trị Giá 30 USD	
hk.jxqy.15usd.zflb	Quà Năm Mới 300,000 VNĐ		30	1499	USD		item|7146|1	item|7147|1	item|7148|1			YearGift	2	version_hk	42	43			Quà Trị Giá 60 USD	
hk.jxqy.45usd.sdlb	Quà Năm Mới 1,000,000 VNĐ		30	4499	USD		item|7143|1	item|7144|1	item|7145|1			YearGift	3	version_hk	44	45			Quà Trị Giá 100 USD	
hk.jxqy.100usd.khlb	Quà Năm Mới 648 VNĐ		30	9999	USD		item|7141|1	item|7142|1	item|7142|1			YearGift	4	version_hk	46	47			Quà Trị Giá 230 USD	
hk.jxqy.14usd.xblsb	1000 Ngân Sức			1399	USD		SilverBoard|1000					DressMoney	1	version_hk						
hk.jxqy.42usd.zbls	3100 Ngân Sức			4199	USD		SilverBoard|3100					DressMoney	2	version_hk						
hk.jxqy.84usd.dbls	6900 Ngân Sức			8399	USD		SilverBoard|6900					DressMoney	3	version_hk						
hk.jxqy.1usd.hgth	Quà Trở Về 20,000 VNĐ		1	99	USD		Gold|480					BackGift	1	version_hk	67				Quà Trị Giá 160,000 VNĐ	
hk.jxqy.4usd.hgcz	Quà Trở Về 100,000 VNĐ		1	399	USD		Gold|4800					BackGift	2	version_hk	68				Quà Trị Giá 1,600,000 VNĐ	
hk.jxqy.1usd.hgby	Quà Trở Về-Cực 20,000 VNĐ		1	99	USD		item|1242|6					BackGift	3	version_hk	69				Quà Trị Giá 200,000 VNĐ	
hk.jxqy.1usd.hghj	Quà Phúc Lợi 20,000 VNĐ		1	99	USD		item|2518|2					BackGift	4	version_hk	70				Quà Trị Giá 10,000 VNĐ	
hk.jxqy.4usd.hgzs	Quà Hào Hoa 100,000 VNĐ		1	399	USD		item|2519|5					BackGift	5	version_hk	71				Quà Trị Giá 500,000 VNĐ	
tw.jxqy.2usd	135 Nguyên Bảo		0	199	USD		Gold|135	Gold|270				BuyGold	1	version_tw			Recharge_00	Tặng thêm 135 Nguyên Bảo, chỉ 1 lần duy nhất	135 Nguyên Bảo	
tw.jxqy.5usd	340 Nguyên Bảo			499	USD		Gold|340	Gold|680				BuyGold	2	version_tw			Recharge_02	Tặng thêm 340 Nguyên Bảo, chỉ 1 lần duy nhất	340 Nguyên Bảo	
tw.jxqy.20usd	1360 Nguyên Bảo			1999	USD		Gold|1360	Gold|2720				BuyGold	3	version_tw			Recharge_03	Tặng thêm 1360 Nguyên Bảo, chỉ 1 lần duy nhất	1360 Nguyên Bảo	
tw.jxqy.30usd	2040 Nguyên Bảo			2999	USD		Gold|2040	Gold|4080				BuyGold	4	version_tw			Recharge_04	Tặng thêm 2040 Nguyên Bảo, chỉ 1 lần duy nhất	2040 Nguyên Bảo	
tw.jxqy.50usd	3400 Nguyên Bảo			4999	USD		Gold|3400	Gold|6800				BuyGold	5	version_tw			Recharge_05	Tặng thêm 3400 Nguyên Bảo, chỉ 1 lần duy nhất	3400 Nguyên Bảo	
tw.jxqy.100usd	6800 Nguyên Bảo			9999	USD		Gold|6800	Gold|13600				BuyGold	6	version_tw			Recharge_06	Tặng thêm 6800 Nguyên Bảo, chỉ 1 lần duy nhất	6800 Nguyên Bảo	
tw.jxqy.3usd.wc	Thẻ Tuần		7	299	USD		Gold|200					DaysCard	1	version_tw	7		Recharge_09		Quà 7 Ngày	
tw.jxqy.5usd.mc	Thẻ Tháng		30	499	USD		Gold|300					DaysCard	2	version_tw	2		Recharge_10		Quà 30 Ngày	
tw.jxqy.5usd.zzzk	Quà Chí Tôn 7 Ngày		7	499	USD		Gold|400					DaysCard	3	version_tw	82		Recharge_11		Quà Chí Tôn 7 Ngày	
tw.jxqy.13usd.fund	Client Đầu Tư		999999	1299	USD							GrowInvest	1	version_tw					Quỹ trưởng thành 12.99$	
tw.jxqy.13usd.ybwl	Đầu Tư Lv25		999999	1299	USD							GrowInvest	1	version_tw					Quỹ trưởng thành 12.99$	
tw.jxqy.15usd.ybwl2	Đầu Tư Lv65		999999	1499	USD							GrowInvest	2	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.16usd.ybwl3	Đầu Tư Lv90		999999	1599	USD							GrowInvest	3	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.8usd.tbjj	Quỹ Thông Bảo		30	799	USD							GrowInvest	4	version_tw					Quỹ 7.99 USD	
tw.jxqy.16usd.ybwl4.fix	Đầu Tư Lv100		999999	1599	USD							GrowInvest	5	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.16usd.ybwl5	Đầu Tư Lv110		999999	1599	USD							GrowInvest	6	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.15usd.hgyb	Đầu Tư-Quay Về		999999	1499	USD	5						GrowInvest	7	version_tw					Quỹ Trưởng Thành 200,000 VNĐ	
tw.jxqy.16usd.ybwl6	Đầu Tư Lv120		999999	1599	USD							GrowInvest	8	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.16usd.ybwl7	Đầu Tư Lv130		999999	1599	USD							GrowInvest	9	version_tw					Quỹ trưởng thành 200.000 VNĐ	
tw.jxqy.16usd.ybwl8	Đầu Tư Lv140		999999	1599	USD							GrowInvest	10	version_tw					Quỹ trưởng thành 200.000 VNĐ	
web.jxqy.1usd.bylb	Quà 1 VNĐ Client		1	99	USD		item|2821|1;Gold|68					DayGift	1	version_tw	11	13		Nhận ngay 20 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
tw.jxqy.1usd.bylb	Quà 5,000 VNĐ		1	99	USD		item|1242|1;Gold|68					DayGift	1	version_tw	11	13		Nhận ngay 20 Nguyên Bảo\nQuà trị giá 30,000 VNĐ	Mua 5,000 VNĐ	
tw.jxqy.2usd.hjlb	Quà 10,000 VNĐ		1	199	USD		item|2518|1;Gold|136					DayGift	2	version_tw	16	14		Nhận ngay 40 Nguyên Bảo\nQuà trị giá 60,000 VNĐ	Mua 10,000 VNĐ	
tw.jxqy.3usd.zslb	Quà 20,000 VNĐ		1	299	USD		item|2519|1;Gold|204					DayGift	3	version_tw	17	15		Nhận ngay 80 Nguyên Bảo\nQuà trị giá 100,000 VNĐ	Mua 20,000 VNĐ	
tw.jxqy.5usd.aplb	Quà Năm Mới 100,000 VNĐ		1	499	USD		item|7149|1	item|7150|1	item|7151|1			YearGift	1	version_tw	40	41			Quà Trị Giá 30 USD	
tw.jxqy.15usd.zflb	Quà Năm Mới 300,000 VNĐ		30	1499	USD		item|7146|1	item|7147|1	item|7148|1			YearGift	2	version_tw	42	43			Quà Trị Giá 60 USD	
tw.jxqy.45usd.sdlb	Quà Năm Mới 1,000,000 VNĐ		30	4499	USD		item|7143|1	item|7144|1	item|7145|1			YearGift	3	version_tw	44	45			Quà Trị Giá 100 USD	
tw.jxqy.100usd.khlb	Quà Năm Mới 648 VNĐ		30	9999	USD		item|7141|1	item|7142|1	item|7142|1			YearGift	4	version_tw	46	47			Quà Trị Giá 230 USD	
tw.jxqy.14usd.xblsb	1000 Ngân Sức			1399	USD		SilverBoard|1000					DressMoney	1	version_tw						
tw.jxqy.42usd.zbls	3100 Ngân Sức			4199	USD		SilverBoard|3100					DressMoney	2	version_tw						
tw.jxqy.84usd.dbls	6900 Ngân Sức			8399	USD		SilverBoard|6900					DressMoney	3	version_tw						
tw.jxqy.1usd.hgth	Quà Trở Về 20,000 VNĐ		1	99	USD		Gold|480					BackGift	1	version_tw	67				Quà Trị Giá 160,000 VNĐ	
tw.jxqy.4usd.hgcz	Quà Trở Về 100,000 VNĐ		1	399	USD		Gold|4800					BackGift	2	version_tw	68				Quà Trị Giá 1,600,000 VNĐ	
tw.jxqy.1usd.hgby	Quà Trở Về-Cực 20,000 VNĐ		1	99	USD		item|1242|6					BackGift	3	version_tw	69				Quà Trị Giá 200,000 VNĐ	
tw.jxqy.1usd.hghj	Quà Phúc Lợi 20,000 VNĐ		1	99	USD		item|2518|2					BackGift	4	version_tw	70				Quà Trị Giá 10,000 VNĐ	
