nGroup	nIndex	nLevel	nAwardGold	nDay	version_tx	version_vn	version_hk	version_xm	version_en	version_kor	version_th
4	1	0	2000000	1		1					
4	2	1	500000	3		1					
4	3	1	500000	5		1					
4	4	1	500000	7		1					
4	5	1	500000	9		1					
4	6	1	500000	11		1					
4	7	1	500000	13		1					
4	8	1	500000	15		1					
4	9	1	500000	17		1					
4	10	1	500000	19		1					
4	11	1	500000	21		1					
4	12	1	500000	23		1					
4	13	1	500000	25		1					
4	14	1	2000000	27		1					
5	1	100	2160		1			1	1		1
5	2	103	1080		1			1	1		1
5	3	106	2160		1			1	1		1
5	4	108	1080		1			1	1		1
5	5	110	2160		1			1	1		1
5	1	100	2000				1				
5	2	103	1400				1				
5	3	106	1800				1				
5	4	108	1800				1				
5	5	110	2000				1				
5	1	100	2500000			1					
5	2	103	750000			1					
5	3	106	1750000			1					
5	4	108	750000			1					
5	5	110	1750000			1					
5	1	100	2180							1	
5	2	103	1000							1	
5	3	106	1000							1	
5	4	108	1500							1	
5	5	110	2000							1	
6	1	110	2160		1		1	1	1		1
6	2	113	1080		1		1	1	1		1
6	3	116	2160		1		1	1	1		1
6	4	118	1080		1		1	1	1		1
6	5	120	2160		1		1	1	1		1
6	1	110	2500000			1					
6	2	113	750000			1					
6	3	116	1750000			1					
6	4	118	750000			1					
6	5	120	1750000			1					
6	1	110	2180							1	
6	2	113	1000							1	
6	3	116	1000							1	
6	4	118	1500							1	
6	5	120	2000							1	
7	1	0	1000	1	1		1	1	1	1	1
7	2	1	600	3	1		1	1	1	1	1
7	3	1	600	5	1		1	1	1	1	1
7	4	1	600	7	1		1	1	1	1	1
7	5	1	600	9	1		1	1	1	1	1
7	6	1	600	11	1		1	1	1	1	1
7	7	1	600	13	1		1	1	1	1	1
7	8	1	600	15	1		1	1	1	1	1
7	9	1	600	17	1		1	1	1	1	1
7	10	1	600	19	1		1	1	1	1	1
7	11	1	600	21	1		1	1	1	1	1
7	12	1	600	23	1		1	1	1	1	1
7	13	1	600	25	1		1	1	1	1	1
7	14	1	800	27	1		1	1	1	1	1
7	1	0	2000000	1		1					
7	2	1	1000000	3		1					
7	3	1	1000000	5		1					
7	4	1	1000000	7		1					
7	5	1	1000000	9		1					
7	6	1	1000000	11		1					
7	7	1	1000000	13		1					
7	8	1	1000000	15		1					
7	9	1	1000000	17		1					
7	10	1	1000000	19		1					
7	11	1	1000000	21		1					
7	12	1	1000000	23		1					
7	13	1	1000000	25		1					
7	14	1	2000000	27		1					
8	1	120	2160		1		1	1			1
8	2	123	1080		1		1	1			1
8	3	126	2160		1		1	1			1
8	4	128	1080		1		1	1			1
8	5	130	2160		1		1	1			1
8	1	120	2500000			1					
8	2	123	750000			1					
8	3	126	1750000			1					
8	4	128	750000			1					
8	5	130	1750000			1					
8	1	120	2180							1	
8	2	123	1000							1	
8	3	126	1000							1	
8	4	128	1500							1	
8	5	130	2000							1	
9	1	130	2160		1		1	1			1
9	2	133	1080		1		1	1			1
9	3	136	2160		1		1	1			1
9	4	138	1080		1		1	1			1
9	5	140	2160		1		1	1			1
9	1	130	2500000			1					
9	2	133	750000			1					
9	3	136	1750000			1					
9	4	138	750000			1					
9	5	140	1750000			1					
9	1	130	2180							1	
9	2	133	1000							1	
9	3	136	1000							1	
9	4	138	1500							1	
9	5	140	2000							1	
10	1	140	2160		1		1	1			1
10	2	143	1080		1		1	1			1
10	3	146	2160		1		1	1			1
10	4	148	1080		1		1	1			1
10	5	150	2160		1		1	1			1
10	1	140	2180							1	
10	2	143	1000							1	
10	3	146	1000							1	
10	4	148	1500							1	
10	5	150	2000							1	
10	1	140	2500000			1					
10	2	143	750000			1					
10	3	146	1750000			1					
10	4	148	750000			1					
10	5	150	1750000			1					
